distance_cm,angle_deg,repeat,scene_type,video_file,requested_frames,marker_total_frames,marker_qualified_frames,marker_qualified_percent,sift_total_frames,sift_qualified_frames,sift_qualified_percent,sift_joint_refined_frames,sift_joint_refined_percent,sift_joint_refined_qualified_frames,sift_joint_refined_qualified_percent,rotation_error_threshold_deg,baseline_error_threshold_percent
16.3,0.0,1,object_in_roi,HBVCAM_16.3CM_opposite_1.mp4,300,300,0,0.0,300,0,0.0,112,37.333333333333336,0,0.0,2.0,5.0
16.3,0.0,2,object_in_roi,HBVCAM_16.3CM_opposite_2.mp4,300,300,0,0.0,300,3,1.0,135,45.0,3,1.0,2.0,5.0
16.3,0.0,3,object_in_roi,HBVCAM_16.3CM_opposite_3.mp4,300,300,0,0.0,300,2,0.6666666666666667,72,24.0,2,0.6666666666666667,2.0,5.0
16.3,0.0,4,object_in_roi,HBVCAM_16.3CM_opposite_4.mp4,300,300,0,0.0,300,2,0.6666666666666667,39,13.0,2,0.6666666666666667,2.0,5.0
16.3,0.0,5,object_in_roi,HBVCAM_16.3CM_opposite_5.mp4,300,300,0,0.0,300,0,0.0,65,21.666666666666668,0,0.0,2.0,5.0
16.3,0.0,6,pattern_only,HBVCAM_16.3CM_opposite_6.mp4,300,300,0,0.0,300,0,0.0,0,0.0,0,0.0,2.0,5.0
20.0,0.0,1,object_in_roi,HBVCAM_20CM_opposite_1.mp4,300,300,0,0.0,300,0,0.0,280,93.33333333333333,0,0.0,2.0,5.0
20.0,0.0,2,object_in_roi,HBVCAM_20CM_opposite_2.mp4,300,300,0,0.0,300,0,0.0,289,96.33333333333334,0,0.0,2.0,5.0
20.0,0.0,3,object_in_roi,HBVCAM_20CM_opposite_3.mp4,300,300,0,0.0,300,0,0.0,281,93.66666666666667,0,0.0,2.0,5.0
20.0,0.0,4,object_in_roi,HBVCAM_20CM_opposite_4.mp4,300,300,0,0.0,300,0,0.0,294,98.0,0,0.0,2.0,5.0
20.0,0.0,5,object_in_roi,HBVCAM_20CM_opposite_5.mp4,300,300,0,0.0,300,0,0.0,296,98.66666666666667,0,0.0,2.0,5.0
20.0,0.0,6,pattern_only,HBVCAM_20CM_opposite_6.mp4,300,300,0,0.0,300,0,0.0,0,0.0,0,0.0,2.0,5.0
25.0,0.0,1,object_in_roi,HBVCAM_25CM_opposite_1.mp4,300,300,0,0.0,300,32,10.666666666666668,297,99.0,32,10.666666666666668,2.0,5.0
25.0,0.0,2,object_in_roi,HBVCAM_25CM_opposite_2.mp4,300,300,0,0.0,300,23,7.666666666666666,229,76.33333333333333,22,7.333333333333333,2.0,5.0
25.0,0.0,3,object_in_roi,HBVCAM_25CM_opposite_3.mp4,300,300,0,0.0,300,43,14.333333333333334,279,93.0,43,14.333333333333334,2.0,5.0
25.0,0.0,4,object_in_roi,HBVCAM_25CM_opposite_4.mp4,300,300,0,0.0,300,45,15.0,284,94.66666666666667,45,15.0,2.0,5.0
25.0,0.0,5,object_in_roi,HBVCAM_25CM_opposite_5.mp4,300,300,0,0.0,300,46,15.333333333333332,263,87.66666666666667,46,15.333333333333332,2.0,5.0
25.0,0.0,6,pattern_only,HBVCAM_25CM_opposite_6.mp4,300,300,0,0.0,300,8,2.666666666666667,75,25.0,8,2.666666666666667,2.0,5.0
30.0,0.0,1,object_in_roi,HBVCAM_30CM_opposite_1.mp4,300,300,0,0.0,300,146,48.66666666666667,252,84.0,146,48.66666666666667,2.0,5.0
30.0,0.0,2,object_in_roi,HBVCAM_30CM_opposite_2.mp4,300,300,0,0.0,300,214,71.33333333333334,297,99.0,214,71.33333333333334,2.0,5.0
30.0,0.0,3,object_in_roi,HBVCAM_30CM_opposite_3.mp4,300,300,0,0.0,300,91,30.333333333333336,296,98.66666666666667,91,30.333333333333336,2.0,5.0
30.0,0.0,4,object_in_roi,HBVCAM_30CM_opposite_4.mp4,300,300,0,0.0,300,82,27.333333333333332,300,100.0,82,27.333333333333332,2.0,5.0
30.0,0.0,5,object_in_roi,HBVCAM_30CM_opposite_5.mp4,300,300,0,0.0,300,24,8.0,291,97.0,24,8.0,2.0,5.0
30.0,0.0,6,pattern_only,HBVCAM_30CM_opposite_6.mp4,300,300,0,0.0,300,7,2.3333333333333335,134,44.666666666666664,7,2.3333333333333335,2.0,5.0
35.0,0.0,1,object_in_roi,HBVCAM_35CM_opposite_1.mp4,300,300,0,0.0,300,46,15.333333333333332,263,87.66666666666667,46,15.333333333333332,2.0,5.0
35.0,0.0,2,object_in_roi,HBVCAM_35CM_opposite_2.mp4,300,300,0,0.0,300,11,3.6666666666666665,296,98.66666666666667,11,3.6666666666666665,2.0,5.0
35.0,0.0,3,object_in_roi,HBVCAM_35CM_opposite_3.mp4,300,300,0,0.0,300,25,8.333333333333332,292,97.33333333333334,25,8.333333333333332,2.0,5.0
35.0,0.0,4,object_in_roi,HBVCAM_35CM_opposite_4.mp4,300,300,0,0.0,300,19,6.333333333333334,284,94.66666666666667,19,6.333333333333334,2.0,5.0
35.0,0.0,5,object_in_roi,HBVCAM_35CM_opposite_5.mp4,300,300,0,0.0,300,11,3.6666666666666665,275,91.66666666666666,11,3.6666666666666665,2.0,5.0
35.0,0.0,6,pattern_only,HBVCAM_35CM_opposite_6.mp4,300,300,0,0.0,300,34,11.333333333333332,196,65.33333333333333,34,11.333333333333332,2.0,5.0
