block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,11.86432751194776,0.39735910051148116,-0.6356724880522407,0.6356724880522407,0.7496490957947055,25,25,0,-0.6356724880522407,0.6356724880522407
2,1,2,12.0,25,0,11.369936938004683,0.6018024757225825,-0.6300630619953194,0.7117725902974061,0.8712896658842839,25,25,0,-0.6300630619953194,0.6300630619953194
3,1,3,11.5,25,0,10.763800465959543,0.532188805018277,-0.7361995340404579,0.7363148920170047,0.9084132749515328,25,25,0,-0.7361995340404579,0.7361995340404579
4,1,4,11.0,25,0,10.671044732819169,0.31228577108837496,-0.32895526718083246,0.39129743355511154,0.4535790676720805,25,25,0,-0.32895526718083246,0.32895526718083246
5,1,5,10.5,25,0,10.272125459635733,0.2755289329093864,-0.22787454036426702,0.29948790992719787,0.35755139353163085,25,25,0,-0.22787454036426702,0.22787454036426702
6,1,6,10.0,25,0,9.820023618065479,0.22941167699120624,-0.1799763819345219,0.2129431060375181,0.2915839769160138,25,25,0,-0.1799763819345219,0.1799763819345219
7,2,1,9.5,25,0,9.143742863502684,0.5521315614342338,-0.35625713649731566,0.5059316814546349,0.6570908677169939,25,25,0,-0.35625713649731566,0.35625713649731566
8,2,2,9.0,25,0,8.705384752376085,0.4220842541372094,-0.29461524762391555,0.4316693688456807,0.5147361088199132,25,25,0,-0.29461524762391555,0.29461524762391555
9,2,3,8.5,25,0,8.282694898790217,0.29569747850137906,-0.21730510120978366,0.33266373432896357,0.36695845242188907,25,25,0,-0.21730510120978366,0.21730510120978366
10,2,4,8.0,25,0,7.869628996276114,0.250081186343628,-0.1303710037238857,0.16719103756024556,0.28202340040324636,25,25,0,-0.1303710037238857,0.1303710037238857
11,2,5,7.5,25,0,7.451251610794504,0.1662013977987803,-0.04874838920549593,0.14450640309622442,0.17320308911910007,25,25,0,-0.04874838920549593,0.04874838920549593
12,2,6,7.0,25,0,7.0464119029794565,0.3709243272455092,0.04641190297945585,0.33384291194606525,0.3738166947592203,25,25,0,0.04641190297945585,0.04641190297945585
13,3,1,6.5,25,0,6.287115870760901,0.34142358569533593,-0.21288412923909855,0.3483569324618015,0.4023552129039086,25,25,0,-0.21288412923909855,0.21288412923909855
14,3,2,6.0,25,0,5.94789081038567,0.30862766421887244,-0.05210918961433006,0.19000109258186337,0.3129958510323408,25,25,0,-0.05210918961433006,0.05210918961433006
15,3,3,5.5,25,0,5.483057509268817,0.24381071797960918,-0.01694249073118172,0.21624992238558327,0.2443986787892044,25,25,0,-0.01694249073118172,0.01694249073118172
16,3,4,5.0,25,0,4.958024239521844,0.26722110291890583,-0.04197576047815566,0.2675727528013497,0.2704978416049118,25,25,0,-0.04197576047815566,0.04197576047815566
17,3,5,4.5,25,0,4.7407806121451594,0.0203901819065268,0.24078061214515933,0.24078061214515933,0.24164242736568203,25,25,0,0.24078061214515933,0.24078061214515933
18,3,6,4.0,25,0,4.209743945124742,0.3778490755265754,0.20974394512474176,0.34391533366374283,0.4321602091733786,25,25,0,0.20974394512474176,0.20974394512474176
19,4,1,3.5,25,0,3.4463035190595064,0.5428002343552644,-0.053696480940494264,0.4241612431539235,0.5454497286474005,25,25,0,-0.053696480940494264,0.053696480940494264
20,4,2,3.0,25,0,3.4779219674374593,1.1979522966152722,0.4779219674374595,0.6196972146739828,1.2897670766169749,25,25,0,0.4779219674374595,0.4779219674374595
21,4,3,2.5,25,0,2.6283291869893914,0.5249169990589876,0.12832918698939152,0.42544509599903546,0.5403760136557242,25,25,0,0.12832918698939152,0.12832918698939152
22,4,4,2.0,25,0,2.356354842551023,0.3304018033040258,0.3563548425510231,0.3576161773434665,0.48595691726336876,25,25,0,0.3563548425510231,0.3563548425510231
23,4,5,1.5,25,0,1.7565662271281346,0.611933451860177,0.25656622712813465,0.5122506652689169,0.6635425972824028,25,25,0,0.25656622712813465,0.25656622712813465
24,4,6,1.0,25,0,3.609449597055193,5.244596150195011,2.609449597055193,2.877328546211749,5.857902011660133,25,25,0,2.609449597055193,2.609449597055193
