sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5.0,5.0,752.7360221035864,330.98496762431535,12.5,753.0,331.0,11.854039500231476,-0.645960499768524,0.645960499768524,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,165.6013086066675,170.88535525398123,4.060864400002174
2,1,1,1,1,2,7.5,5.0,769.4974353951885,330.6483105606726,12.5,769.0,331.0,11.833138264923734,-0.6668617350762656,0.6668617350762656,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,201.91243199948912,206.17881835894056,3.303862799992203
3,1,1,1,1,3,10.0,5.0,786.333228543996,330.3101595595029,12.5,786.0,330.0,11.242590506447488,-1.2574094935525117,1.2574094935525117,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,228.13929557194786,231.0803076257085,2.8866030999924988
4,1,1,1,1,4,12.5,5.0,803.2438977491186,329.97050465452634,12.5,803.0,330.0,12.391931959054595,-0.10806804094540468,0.10806804094540468,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,182.4648698014557,184.4621021061766,3.199584899994079
5,1,1,1,1,5,15.0,5.0,820.2299436331261,329.629335790617,12.5,820.0,330.0,12.36759371223798,-0.13240628776202001,0.13240628776202001,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,183.677860326111,186.64119343418412,2.7044685000000754
6,1,1,1,2,1,5.0,7.5,753.6504088928763,348.71466055807446,12.5,754.0,349.0,11.855954763338367,-0.6440452366616327,0.6440452366616327,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,206.9124657797435,214.2103472371652,2.7774661000003107
7,1,1,1,2,2,7.5,7.5,770.3916854992601,348.41764790103116,12.5,770.0,348.0,12.420875492103589,-0.07912450789641134,0.07912450789641134,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,245.9259094228189,251.66060946504862,2.738411199999973
8,1,1,1,2,3,10.0,7.5,787.2071541764328,348.1193189773378,12.5,787.0,348.0,11.225115128793421,-1.274884871206579,1.274884871206579,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,154.68104361226318,155.2624019270641,3.2965878999966662
9,1,1,1,2,4,12.5,7.5,804.0973092135345,347.8196650176434,12.5,804.0,348.0,11.790690393299185,-0.7093096067008151,0.7093096067008151,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,161.99124131833435,163.62335890471095,2.735109100001864
10,1,1,1,2,5,15.0,7.5,821.062649300275,347.51867717452495,12.5,821.0,348.0,12.349891675673508,-0.15010832432649224,0.15010832432649224,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,236.602848396604,242.64090928961525,2.7148178999923402
11,1,1,1,3,1,5.0,10.0,754.5623865814673,366.39764173250364,12.5,755.0,366.0,11.879617366474257,-0.6203826335257432,0.6203826335257432,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,190.5670173897314,193.88653522911542,2.706773700003396
12,1,1,1,3,2,7.5,10.0,771.2835743537947,366.1400656610819,12.5,771.0,366.0,11.248586167327316,-1.251413832672684,1.251413832672684,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,183.49706476706046,185.55027358333388,2.6930425000027753
13,1,1,1,3,3,10.0,10.0,788.0787671192182,365.88134960393387,12.5,788.0,366.0,11.228081083618497,-1.2719189163815035,1.2719189163815035,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,177.310885841632,179.77807981975795,2.7306065000011586
14,1,1,1,3,4,12.5,10.0,804.9484572666898,365.62148597621484,12.5,805.0,366.0,11.792668889122382,-0.7073311108776181,0.7073311108776181,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,166.05866884504047,166.8614157338477,2.614727499996661
15,1,1,1,3,5,15.0,10.0,821.8931415629886,365.36046712564337,12.5,822.0,365.0,12.369698357282036,-0.13030164271796352,0.13030164271796352,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,245.61671488928417,248.28010112160453,2.621385899998131
16,1,1,1,4,1,5.0,12.5,755.4719646775854,384.0340955093271,12.5,755.0,384.0,11.861090429700376,-0.6389095702996244,0.6389095702996244,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,154.49428315894312,157.9598626613536,2.7392158000002382
17,1,1,1,4,2,7.5,12.5,772.1731112987093,383.8157494311229,12.5,772.0,384.0,11.838855838567598,-0.6611441614324018,0.6611441614324018,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,152.98182168032127,154.770975158542,2.6075348000013037
18,1,1,1,4,3,10.0,12.5,788.9480765404073,383.5964382691033,12.5,789.0,384.0,11.816769801763966,-0.6832301982360338,0.6832301982360338,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,162.61841922790285,165.3713949017762,2.678500100009842
19,1,1,1,4,4,12.5,12.5,805.7973509011623,383.3761556106298,12.5,806.0,383.0,11.21050399404962,-1.2894960059503795,1.2894960059503795,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,172.32366653119445,173.1187029368881,2.909186100005172
20,1,1,1,4,5,15.0,12.5,822.721429234687,383.15489498612436,12.5,823.0,383.0,12.3518154852778,-0.14818451472219962,0.14818451472219962,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,292.6755498694364,298.40422353972855,2.6739381999941543
21,1,1,1,5,1,5.0,15.0,756.3791526394862,401.62420528135993,12.5,756.0,402.0,12.447820254824329,-0.052179745175671144,0.052179745175671144,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,230.0356811361969,233.36891551201086,2.6859710999997333
22,1,1,1,5,2,7.5,15.0,773.0603056247276,401.4448838239384,12.5,773.0,401.0,11.840789632573916,-0.6592103674260841,0.6592103674260841,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,180.09676888783773,181.31771278619976,2.8552494999894407
23,1,1,1,5,3,10.0,15.0,789.8150915596607,401.26477081644447,12.5,790.0,401.0,11.818678964631383,-0.681321035368617,0.681321035368617,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,163.3060198122862,165.02643100386916,2.7175629999983357
24,1,1,1,5,4,12.5,15.0,806.6439990619554,401.0838610062656,12.5,807.0,401.0,11.796661129619023,-0.7033388703809766,0.7033388703809766,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,174.02130673120894,176.44150838755513,2.69166129999212
25,1,1,1,5,5,15.0,15.0,823.547521082061,400.9021490942122,12.5,824.0,401.0,11.774729007758138,-0.7252709922418621,0.7252709922418621,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,199.1144454552383,201.83898971603978,2.6416441000037594
26,2,1,2,1,1,25.0,5.0,888.9380640157285,328.24931647756716,12.0,889.0,328.0,11.099307132800385,-0.9006928671996146,0.9006928671996146,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,255.32506518691937,259.3560145427623,2.52371980001044
27,2,1,2,1,2,27.5,5.0,906.3086609494553,327.90042381227147,12.0,906.0,328.0,11.063892840022623,-0.9361071599773769,0.9361071599773769,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,255.00044564343006,259.63631932928166,2.690040699992096
28,2,1,2,1,3,30.0,5.0,923.7577340037325,327.549954935003,12.0,924.0,328.0,11.05840557950128,-0.9415944204987206,0.9415944204987206,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,194.78886445666114,196.82327103572743,2.882037899995339
29,2,1,2,1,4,32.5,5.0,941.285816186521,327.19789914016724,12.0,941.0,327.0,11.038415525871157,-0.9615844741288431,0.9615844741288431,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,208.7678416459018,211.29153850759587,2.6074007999995956
30,2,1,2,1,5,35.0,5.0,958.8934453436367,326.844245625,12.0,959.0,327.0,11.589929612880441,-0.4100703871195588,0.4100703871195588,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,265.06436280144584,273.30012133558597,2.650904599999194
31,2,1,2,2,1,25.0,7.5,889.6859907248318,346.30120723773865,12.0,890.0,346.0,11.10229129512815,-0.8977087048718495,0.8977087048718495,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,274.1055994487944,283.54721843927337,2.651771999997436
32,2,1,2,2,2,27.5,7.5,907.0348938982004,345.9934144720219,12.0,907.0,346.0,11.658613792897754,-0.34138620710224643,0.34138620710224643,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,210.05380740796448,212.42817489139696,2.7794779000105336
33,2,1,2,2,3,30.0,7.5,924.4620694666472,345.68423304924016,12.0,924.0,346.0,11.637182564008215,-0.3628174359917846,0.3628174359917846,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,173.67959803525733,174.61711109007902,2.70357939999667
34,2,1,2,2,4,32.5,7.5,941.9680483357449,345.373653550418,12.0,942.0,345.0,11.614423679065776,-0.38557632093422356,0.38557632093422356,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,224.47654891745754,228.35839917121885,2.5896419000055175
35,2,1,2,2,5,35.0,7.5,959.5533662233107,345.06166647120415,12.0,960.0,345.0,11.591919652209997,-0.408080347790003,0.408080347790003,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,276.9579476189992,279.6018221580752,2.660467099995003
36,2,1,2,3,1,25.0,10.0,890.431911545035,364.3046840465687,12.0,890.0,364.0,11.122911062152008,-0.8770889378479918,0.8770889378479918,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,364.24225176654795,377.6421674824328,2.679062100010924
37,2,1,2,3,2,27.5,10.0,907.7591747613257,364.03777188407685,12.0,908.0,364.0,11.10111219507201,-0.8988878049279894,0.8988878049279894,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,291.4757884434291,298.34680113922093,2.8893338999914704
38,2,1,2,3,3,30.0,10.0,925.1645074384778,363.76965712609376,12.0,925.0,364.0,11.639247184514314,-0.36075281548568583,0.36075281548568583,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,305.07069644221554,317.12301499820796,2.618297299995902
39,2,1,2,3,4,32.5,10.0,942.6484383907117,363.5003316266732,12.0,943.0,364.0,12.199710246959755,0.19971024695975537,0.19971024695975537,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,308.6680469977162,316.3722685645754,2.9168948999868007
40,2,1,2,3,5,35.0,10.0,960.2115012190515,363.229787166133,12.0,960.0,363.0,10.464955438355593,-1.5350445616444066,1.5350445616444066,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,330.38237266944196,343.14036801054584,2.60490320000099
41,2,1,2,4,1,25.0,12.5,891.1758345350195,382.2599414076541,12.0,891.0,382.0,11.12612829467451,-0.8738717053254899,0.8738717053254899,valid,,,Shared Pattern Plane,Region-SIFT(21/28),81,1,352.9370804438515,365.9360315110521,2.8721004000108223
