sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5.0,5.0,757.3167279565614,349.3947221366052,12.5,757.0,349.0,12.606581332810862,0.1065813328108618,0.1065813328108618,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,164.95485965940688,167.5905358397513,3.1556564000002254
2,1,1,1,1,2,7.5,5.0,773.1501271127634,349.68041190927295,12.5,773.0,350.0,12.542879498004767,0.042879498004767314,0.042879498004767314,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,243.56909780754617,248.48069280748663,2.783075300000746
3,1,1,1,1,3,10.0,5.0,789.0567224433527,349.9674223963504,12.5,789.0,350.0,12.474927466681681,-0.025072533318319046,0.025072533318319046,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,223.06834245913873,225.08609679646725,2.690845000000081
4,1,1,1,1,4,12.5,5.0,805.0370226918328,350.2557627773457,12.5,805.0,350.0,12.872538409963957,0.3725384099639566,0.3725384099639566,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,286.5450707612214,292.13617618580156,2.5337229999995543
5,1,1,1,1,5,15.0,5.0,821.0915413272902,350.54544231703295,12.5,821.0,351.0,12.825372391899066,0.32537239189906586,0.32537239189906586,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,226.27233680139773,229.48250291558358,2.6756146000006993
6,1,1,1,2,1,5.0,7.5,757.7414605587311,366.4617031385208,12.5,758.0,366.0,12.679788385845338,0.17978838584533818,0.17978838584533818,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,202.88608890109592,204.18537457345366,2.543722500000513
7,1,1,1,2,2,7.5,7.5,773.5440827245293,366.7860994871012,12.5,774.0,367.0,12.615928698787762,0.11592869878776213,0.11592869878776213,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,191.46025909746766,196.90352799369123,2.5545218999995996
8,1,1,1,2,3,10.0,7.5,789.4196119353982,367.1119924720599,12.5,789.0,367.0,12.552103188151145,0.05210318815114512,0.05210318815114512,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,186.08782338238268,189.91583698140613,2.7119699000004402
9,1,1,1,2,4,12.5,7.5,805.3685539042989,367.4393924746764,12.5,805.0,367.0,12.500956708985946,0.0009567089859459088,0.0009567089859459088,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,229.2348575965437,233.90821728414508,2.518407599999591
10,1,1,1,2,5,15.0,7.5,821.3914190321406,367.76830997246475,12.5,821.0,368.0,12.90227397744724,0.4022739774472406,0.4022739774472406,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,211.09460034748864,214.0365265233669,2.5356652000000395
11,1,1,1,3,1,5.0,10.0,758.1644968309151,383.46052070893154,12.5,758.0,383.0,12.28908860470698,-0.21091139529302083,0.21091139529302083,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,205.57102805344516,210.64124220243215,2.5600758999999016
12,1,1,1,3,2,7.5,10.0,773.9364613118937,383.8233121253586,12.5,774.0,384.0,12.207291643124966,-0.2927083568750337,0.2927083568750337,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,167.3970181661939,169.9193005600189,2.579051700000491
13,1,1,1,3,3,10.0,10.0,789.781045418015,384.18777395999507,12.5,790.0,384.0,12.624998436838524,0.12499843683852419,0.12499843683852419,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,168.84980732852188,170.35556077140137,2.5393183000005592
14,1,1,1,3,4,12.5,10.0,805.6987518557188,384.5539177762439,12.5,806.0,385.0,12.077318813412406,-0.4226811865875941,0.4226811865875941,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,208.12886258534024,213.16399461109225,2.574271499999668
15,1,1,1,3,5,15.0,10.0,821.6900879821293,384.9217552444844,12.5,822.0,385.0,12.010469308164728,-0.489530691835272,0.489530691835272,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,235.94070062990542,241.43553283350926,2.4565521999993507
16,1,1,1,4,1,5.0,12.5,758.5858469152618,400.39158238859704,12.5,759.0,400.0,12.343511667508585,-0.15648833249141525,0.15648833249141525,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,180.53029034881996,185.8645370377979,2.586659399999917
