block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,12.492476654139377,0.21747067044216062,-0.007523345860622612,0.16554778295633255,0.21760076570522766,25,25,0,-0.007523345860622612,0.007523345860622612
2,1,2,12.0,25,0,11.84628477348509,0.28127803604289103,-0.15371522651490957,0.25628192492981006,0.3205397080280006,25,25,0,-0.15371522651490957,0.15371522651490957
3,1,3,11.5,25,0,11.505014751429858,0.2344851462949616,0.00501475142986024,0.19446263673930617,0.2345387634589916,25,25,0,0.00501475142986024,0.00501475142986024
4,1,4,11.0,25,0,10.756835798246145,0.23064410542288796,-0.24316420175385609,0.27644488448630533,0.3351500147410325,25,25,0,-0.24316420175385609,0.24316420175385609
5,1,5,10.5,25,0,10.429041831068755,0.15842668290570036,-0.070958168931244,0.14137571430149173,0.17359169218190798,25,25,0,-0.070958168931244,0.070958168931244
6,1,6,10.0,25,0,9.72746566003785,0.46740183174680744,-0.2725343399621487,0.43526654010618565,0.5410540072662571,25,25,0,-0.2725343399621487,0.2725343399621487
7,2,1,9.5,25,0,9.700293470734493,0.3954236799414559,0.20029347073449294,0.32039938397437645,0.44325766894359775,25,25,0,0.20029347073449294,0.20029347073449294
8,2,2,9.0,25,0,8.911494142695055,0.32140870572816993,-0.08850585730494345,0.24013879196943463,0.333371928774965,25,25,0,-0.08850585730494345,0.08850585730494345
9,2,3,8.5,25,0,8.442096650285261,0.13003072849530428,-0.057903349714738823,0.11444550303982041,0.14234039574627744,25,25,0,-0.057903349714738823,0.057903349714738823
10,2,4,8.0,25,0,7.845157335408643,0.1105793673325812,-0.15484266459135745,0.1601520167551761,0.19027361156352068,25,25,0,-0.15484266459135745,0.15484266459135745
11,2,5,7.5,25,0,7.503613257504941,0.17360180158851002,0.00361325750494057,0.15875652865817064,0.17363939974721582,25,25,0,0.00361325750494057,0.00361325750494057
12,2,6,7.0,25,0,6.748051630142803,0.15304082887750192,-0.2519483698571972,0.26876421109573934,0.2947871713240111,25,25,0,-0.2519483698571972,0.2519483698571972
13,3,1,6.5,25,0,6.6340830323714375,0.40229359933917425,0.1340830323714379,0.31992680418018493,0.4240499966267988,25,25,0,0.1340830323714379,0.1340830323714379
14,3,2,6.0,25,0,6.162221904213352,0.35209670015159333,0.1622219042133522,0.2986718754479652,0.38767000459701173,25,25,0,0.1622219042133522,0.1622219042133522
15,3,3,5.5,25,0,5.450404556309081,0.27139231527518937,-0.049595443690918305,0.19745888554579827,0.2758867463748972,25,25,0,-0.049595443690918305,0.049595443690918305
16,3,4,5.0,25,0,4.8817745739789755,0.21602149973652948,-0.11822542602102391,0.15305969955346416,0.2462570602160921,25,25,0,-0.11822542602102391,0.11822542602102391
17,3,5,4.5,25,0,4.461214867817248,0.27523416950943197,-0.03878513218275161,0.19830657554575254,0.2779534755026104,25,25,0,-0.03878513218275161,0.03878513218275161
18,3,6,4.0,25,0,4.016172387020607,0.6510313279800377,0.016172387020607158,0.39595827675235556,0.6512321675972371,25,25,0,0.016172387020607158,0.016172387020607158
19,4,1,3.5,25,0,3.6531828110432776,0.6635535221896565,0.1531828110432774,0.520140830007424,0.6810053233341274,25,25,0,0.1531828110432774,0.1531828110432774
20,4,2,3.0,25,0,2.9889680438763673,0.5914333468455892,-0.011031956123632511,0.4425791080893775,0.5915362269691425,25,25,0,-0.011031956123632511,0.011031956123632511
21,4,3,2.5,25,0,2.439723658986051,0.2585008738988009,-0.06027634101394895,0.2531885465838554,0.2654353764901612,25,25,0,-0.06027634101394895,0.06027634101394895
22,4,4,2.0,25,0,1.8935702170968112,0.10463567070020671,-0.1064297829031889,0.12969144116951484,0.1492512052604669,25,25,0,-0.1064297829031889,0.1064297829031889
23,4,5,1.5,25,0,1.3145093237456342,0.3312425599504691,-0.18549067625436558,0.2562377151641074,0.3796424956453663,25,25,0,-0.18549067625436558,0.18549067625436558
24,4,6,1.0,25,0,1.4904481527070284,0.8961176457316815,0.49044815270702835,0.7536918057058842,1.0215508922640262,25,25,0,0.49044815270702835,0.49044815270702835
