sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5.0,5.0,913.390264022238,457.8570923445918,12.5,913.0,458.0,12.156245410407005,-0.34375458959299543,0.34375458959299543,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,164.4774175532911,167.09722975521464,2.686647499999708
2,1,1,1,1,2,7.5,5.0,925.6840942612272,453.8334931127217,12.5,926.0,454.0,12.603309801771214,0.10330980177121418,0.10330980177121418,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,180.05965784012324,181.95166825367087,2.5412486999994144
3,1,1,1,1,3,10.0,5.0,938.0408696220495,449.7892928200812,12.5,938.0,450.0,12.49908966768351,-0.0009103323164900701,0.0009103323164900701,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,188.43040212802785,192.31929656248732,3.042198300000564
4,1,1,1,1,4,12.5,5.0,950.4610747694568,445.72433284265406,12.5,950.0,446.0,12.990733866802609,0.4907338668026089,0.4907338668026089,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,191.57894824093609,194.60308559800845,2.311435999999958
5,1,1,1,1,5,15.0,5.0,962.945199356766,441.6384529237367,12.5,963.0,442.0,12.356187297715943,-0.14381270228405718,0.14381270228405718,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,164.2691126929389,167.25573844113964,3.4925859000004493
6,1,1,1,2,1,5.0,7.5,918.0183430530456,470.82976150393256,12.5,918.0,471.0,12.69809378466272,0.19809378466272065,0.19809378466272065,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,170.4170679834154,171.56871704134474,2.6796447999995507
7,1,1,1,2,2,7.5,7.5,930.312119278542,466.8431376553626,12.5,930.0,467.0,12.617123982622328,0.11712398262232782,0.11712398262232782,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,210.4137923260845,217.10546806351954,2.6888897999997425
8,1,1,1,2,3,10.0,7.5,942.668779468473,462.83612180455464,12.5,943.0,463.0,12.55423214913302,0.05423214913301955,0.05423214913301955,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,218.85549844711545,223.71803803515013,2.738095799999428
9,1,1,1,2,4,12.5,7.5,955.0888073471725,458.8085570894561,12.5,955.0,459.0,12.473493050322816,-0.026506949677184366,0.026506949677184366,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,173.28264919563577,177.25656291350094,3.606757900000048
10,1,1,1,2,5,15.0,7.5,967.5726916130208,454.7602850350323,12.5,968.0,455.0,12.409756324988827,-0.09024367501117325,0.09024367501117325,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,169.39075835999986,171.41462592185027,2.6654082000004564
11,1,1,1,3,1,5.0,10.0,922.6375235642897,483.7774877983099,12.5,923.0,484.0,12.195053406857499,-0.3049465931425015,0.3049465931425015,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,164.64223754620426,165.1686975493118,2.4409555000002
12,1,1,1,3,2,7.5,10.0,934.9312232019137,479.82770448975833,12.5,935.0,480.0,12.092293822749973,-0.4077061772500272,0.4077061772500272,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,188.84634930948732,192.89597754166206,2.533172200000081
13,1,1,1,3,3,10.0,10.0,947.287745649404,475.857737144414,12.5,947.0,476.0,12.591461506467246,0.09146150646724571,0.09146150646724571,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,200.7548507962908,204.51704263225375,2.464046099999905
14,1,1,1,3,4,12.5,10.0,959.7075736925219,471.86743065037416,12.5,960.0,472.0,12.505370664173617,0.005370664173616646,0.005370664173616646,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,175.39718857618865,177.52495580689356,2.600112199999785
15,1,1,1,3,5,15.0,10.0,972.1911950766006,467.85662830229904,12.5,972.0,468.0,12.424885421107927,-0.07511457889207307,0.07511457889207307,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,177.35594435293206,179.97785247047756,2.619219900000644
16,1,1,1,4,1,5.0,12.5,927.2478311954198,496.70034309600743,12.5,927.0,497.0,12.2319025741199,-0.2680974258801001,0.2680974258801001,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,114.52553738790846,114.72842191406788,2.558048500000041
17,1,1,1,4,2,7.5,12.5,939.5414318012819,492.787266056693,12.5,940.0,493.0,12.681924982783208,0.18192498278320812,0.18192498278320812,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,136.69490219701532,137.97681950435864,2.469984899999872
18,1,1,1,4,3,10.0,12.5,951.8977940659312,488.8542118590322,12.5,952.0,489.0,12.068086395042032,-0.43191360495796793,0.43191360495796793,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,185.21077542784354,189.0549582889906,2.473880399999871
19,1,1,1,4,4,12.5,12.5,964.3173998383993,484.90102712953893,12.5,964.0,485.0,12.52074872833789,0.020748728337890654,0.020748728337890654,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,149.6833788059376,151.43865926080525,2.527442699999483
20,1,1,1,4,5,15.0,12.5,976.8007359128637,480.9275569206776,12.5,977.0,481.0,12.45673774070064,-0.04326225929935923,0.04326225929935923,valid,,,Shared Pattern Plane,Region-SIFT(21/28),124,1,206.8520115756484,211.19517978446189,2.428053099999488
