block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,12.6510661483023,0.2105115670245472,0.1510661483022983,0.2055419277606576,0.2591063507790236,25,25,0,0.1510661483022983,0.1510661483022983
2,1,2,12.0,25,0,12.282020401027337,0.54767447766671,0.2820204010273386,0.4131873197610206,0.6160217853965267,25,25,0,0.2820204010273386,0.2820204010273386
3,1,3,11.5,25,0,11.463141570176626,0.322661073492944,-0.03685842982337498,0.24206397043065372,0.32475946821711543,25,25,0,-0.03685842982337498,0.03685842982337498
4,1,4,11.0,25,0,11.059651733014775,0.3070393906667994,0.05965173301477634,0.2568340835335459,0.3127803009665181,25,25,0,0.05965173301477634,0.05965173301477634
5,1,5,10.5,25,0,10.59564736905277,0.1946876811768633,0.09564736905277073,0.19020328691949231,0.216914066876127,25,25,0,0.09564736905277073,0.09564736905277073
6,1,6,10.0,25,0,9.965378446914118,0.11778778445187693,-0.0346215530858823,0.09026572701841012,0.12277057507465047,25,25,0,-0.0346215530858823,0.0346215530858823
7,2,1,9.5,25,0,9.776664837872811,0.37005678134405684,0.2766648378728112,0.36528974350921817,0.46204486138676193,25,25,0,0.2766648378728112,0.2766648378728112
8,2,2,9.0,25,0,9.098544009236386,0.3592664224189033,0.09854400923638615,0.2664502034756655,0.37253628552673734,25,25,0,0.09854400923638615,0.09854400923638615
9,2,3,8.5,25,0,8.648807766026557,0.1408658062166492,0.14880776602655849,0.15138313456887167,0.20490711698445604,25,25,0,0.14880776602655849,0.14880776602655849
10,2,4,8.0,25,0,7.878199033436397,0.1684673070779752,-0.12180096656360288,0.19733302279130083,0.2078862886530343,25,25,0,-0.12180096656360288,0.12180096656360288
11,2,5,7.5,25,0,7.501366193259106,0.1298841162762265,0.0013661932591053727,0.08741754280553657,0.1298913012671655,25,25,0,0.0013661932591053727,0.0013661932591053727
12,2,6,7.0,25,0,7.030134900197687,0.2769414350528687,0.030134900197686925,0.23629058661202376,0.278576148761998,25,25,0,0.030134900197686925,0.030134900197686925
13,3,1,6.5,25,0,6.5305604905659695,0.18557500915573613,0.03056049056597107,0.11028640712500408,0.18807452673550545,25,25,0,0.03056049056597107,0.03056049056597107
14,3,2,6.0,25,0,6.213323321008093,0.34185182509737694,0.21332332100809182,0.3324287189993832,0.4029510014981089,25,25,0,0.21332332100809182,0.21332332100809182
15,3,3,5.5,25,0,5.601707592750947,0.16087105501717466,0.10170759275094764,0.12608842513707333,0.19032585416997727,25,25,0,0.10170759275094764,0.10170759275094764
16,3,4,5.0,25,0,4.971341311263476,0.18416453605250677,-0.028658688736523566,0.18039908486535647,0.18638105263017488,25,25,0,-0.028658688736523566,0.028658688736523566
17,3,5,4.5,25,0,4.6064685436741755,0.15431742245001862,0.10646854367417526,0.12221299690821788,0.18748177955128673,25,25,0,0.10646854367417526,0.10646854367417526
18,3,6,4.0,25,0,4.134555909204511,0.28390221507939106,0.13455590920451133,0.2716647558582587,0.31417472913784383,25,25,0,0.13455590920451133,0.13455590920451133
19,4,1,3.5,25,0,3.5173210257070133,0.3990408311496198,0.01732102570701393,0.31589226649869856,0.39941657809375214,25,25,0,0.01732102570701393,0.01732102570701393
20,4,2,3.0,25,0,3.076091731093072,0.2819688616611333,0.07609173109307259,0.19185741637875633,0.29205545789663956,25,25,0,0.07609173109307259,0.07609173109307259
21,4,3,2.5,25,0,2.5832659636324795,0.24896933813826902,0.0832659636324799,0.23243748211082074,0.2625241932330299,25,25,0,0.0832659636324799,0.0832659636324799
22,4,4,2.0,25,0,2.0088142138335012,0.17312485945242764,0.008814213833501458,0.12944323946367584,0.1733490909290427,25,25,0,0.008814213833501458,0.008814213833501458
23,4,5,1.5,25,0,2.735934652565561,3.4095502718932016,1.2359346525655608,1.3775969499047471,3.626646870316899,25,25,0,1.2359346525655608,1.2359346525655608
24,4,6,1.0,25,0,2.4668926751169873,3.331202328101947,1.4668926751169875,1.8329741199579026,3.639874046043861,25,25,0,1.4668926751169875,1.4668926751169875
