sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,682.2459083,317.307136,12.5,682,317,13.01566563,0.515665631,0.515665631,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,150.2569185,153.6970258,3.7214451
2,1,1,1,1,2,7.5,5,699.1557519,317.1266139,12.5,699,317,12.96112807,0.461128072,0.461128072,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,173.8869493,177.1278954,3.0141422
3,1,1,1,1,3,10,5,716.1514935,316.9451748,12.5,716,317,12.90688556,0.406885561,0.406885561,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,190.574975,194.2350881,2.6306103
4,1,1,1,1,4,12.5,5,733.2337894,316.7628116,12.5,733,317,12.85295686,0.352956856,0.352956856,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,223.2718608,228.629098,2.768851
5,1,1,1,1,5,15,5,750.4033024,316.5795174,12.5,750,317,12.79932816,0.299328161,0.299328161,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,224.8902879,230.8582643,2.709893
6,1,1,1,2,1,5,7.5,682.8002795,335.4240946,12.5,683,335,12.56967245,0.069672447,0.069672447,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,247.5492996,254.9486558,2.6366452
7,1,1,1,2,2,7.5,7.5,699.6885377,335.2896538,12.5,700,335,12.51623739,0.016237392,0.016237392,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,226.2741027,229.3723515,2.6349256
8,1,1,1,2,3,10,7.5,716.6624674,335.1545311,12.5,717,335,12.4368072,-0.0631928,0.0631928,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,194.5554854,196.2408987,4.1376189
9,1,1,1,2,4,12.5,7.5,733.7227221,335.0187212,12.5,734,335,12.38464042,-0.115359575,0.115359575,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,228.523677,232.6489979,3.3570369
10,1,1,1,2,5,15,7.5,750.8699621,334.8822188,12.5,751,335,12.78276794,0.282767942,0.282767942,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,251.7948762,254.5497507,3.2129403
11,1,1,1,3,1,5,10,683.3531493,353.491986,12.5,683,353,12.55617139,0.056171393,0.056171393,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,191.2497161,195.5724416,3.2016275
12,1,1,1,3,2,7.5,10,700.2198769,353.4033776,12.5,700,353,12.93088416,0.430884156,0.430884156,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,218.2250701,225.2411174,3.3016214
13,1,1,1,3,3,10,10,717.1720503,353.3143203,12.5,717,353,12.87676447,0.376764468,0.376764468,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,206.2012756,212.5253269,3.5293611
14,1,1,1,3,4,12.5,10,734.2103205,353.2248107,12.5,734,353,12.39693031,-0.10306969,0.10306969,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,179.2098487,184.4504781,3.2242956
15,1,1,1,3,5,15,10,751.3353451,353.1348454,12.5,751,353,12.76941074,0.269410739,0.269410739,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,267.8163733,276.8236159,3.3016703
16,1,1,1,4,1,5,12.5,683.9045237,371.5110095,12.5,684,372,12.53879178,0.038791776,0.038791776,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,147.5826261,150.1594394,3.1066274
17,1,1,1,4,2,7.5,12.5,700.7497754,371.4679858,12.5,701,371,12.48622268,-0.013777318,0.013777318,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,157.5955804,157.7903117,3.5681898
18,1,1,1,4,3,10,12.5,717.6802481,371.4247445,12.5,718,371,12.43318992,-0.066810081,0.066810081,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,237.2143243,242.7191957,4.2453759
19,1,1,1,4,4,12.5,12.5,734.6965901,371.3812839,12.5,735,371,12.38046515,-0.119534847,0.119534847,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,182.814353,185.0187689,3.3638056
20,1,1,1,4,5,15,12.5,751.7994566,371.3376022,12.5,752,371,12.32800365,-0.171996348,0.171996348,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,268.9786844,277.1630972,3.0522647
21,1,1,1,5,1,5,15,684.4544088,389.481363,12.5,684,389,12.52606295,0.026062954,0.026062954,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,172.9955434,176.7509235,2.8000402
22,1,1,1,5,2,7.5,15,701.2782389,389.483678,12.5,701,389,12.47279342,-0.027206584,0.027206584,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,189.1160966,191.5986614,2.734248
23,1,1,1,5,3,10,15,718.1870662,389.4860047,12.5,718,389,12.84665203,0.346652035,0.346652035,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,160.5856038,164.8519062,2.8119309
24,1,1,1,5,4,12.5,15,735.1815363,389.4883432,12.5,735,389,12.7929011,0.292901102,0.292901102,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,169.2271518,171.2097339,3.0091924
25,1,1,1,5,5,15,15,752.2623017,389.4906935,12.5,752,389,12.71532027,0.215320267,0.215320267,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,281.7290208,290.1605619,3.2644139
26,2,1,2,1,1,25,5,819.9670227,315.8368854,12,820,316,12.58221014,0.582210142,0.582210142,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,308.8993631,314.0003549,2.7834526
27,2,1,2,1,2,27.5,5,837.5828051,315.648827,12,838,316,11.66346613,-0.336533868,0.336533868,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,304.7900817,312.3333728,2.8290637
28,2,1,2,1,3,30,5,855.2899276,315.4597935,12,855,315,12.05697283,0.056972834,0.056972834,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,280.2185142,286.8869015,2.982784
29,2,1,2,1,4,32.5,5,873.0891024,315.2697773,12,873,315,12.00338462,0.003384622,0.003384622,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,297.7757898,306.5013742,2.8035234
30,2,1,2,1,5,35,5,890.9810491,315.0787706,12,891,315,11.95012604,-0.049873956,0.049873956,valid,,,Shared Pattern Plane,Region-SIFT(21/28),109,1,286.6286383,289.7275902,2.7486447
