block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,12.35854746051079,0.25864343033968606,-0.141452539,0.250862984,0.29479695552333407,25,25,0,-0.141452539,0.1414525394892101
2,1,2,12,25,0,11.635116338287341,0.28854723775176716,-0.364883662,0.39307851,0.46518769867550547,25,25,0,-0.364883662,0.3648836617126588
3,1,3,11.5,25,0,11.273636289588655,0.2749743977972811,-0.22636371,0.310307651,0.35616211033063133,25,25,0,-0.22636371,0.22636371041134537
4,1,4,11,25,0,10.736240205644263,0.2058975309303192,-0.263759794,0.278459739,0.33460876013903584,25,25,0,-0.263759794,0.26375979435573776
5,1,5,10.5,25,0,10.367413981006528,0.2121520564071864,-0.132586019,0.189619025,0.2501750336671015,25,25,0,-0.132586019,0.1325860189934721
6,1,6,10,25,0,9.668255071,0.303613132,-0.331744929,0.415994415,0.44970616200388447,25,25,0,-0.331744929,0.33174492917001835
7,2,1,9.5,25,0,9.204426110165958,0.28991025521195246,-0.29557389,0.36584348,0.4140191788174632,25,25,0,-0.29557389,0.2955738898340432
8,2,2,9,25,0,8.929783103653222,0.26327497782382503,-0.070216896,0.199830686,0.2724777541024401,25,25,0,-0.070216896,0.070216896
9,2,3,8.5,25,0,8.181605733998474,0.11994249223443573,-0.318394266,0.318394266,0.3402368440749147,25,25,0,-0.318394266,0.3183942660015255
10,2,4,8,25,0,7.513284242231883,0.22774110321815083,-0.486715758,0.492110388,0.5373622976677955,25,25,0,-0.486715758,0.4867157577681167
11,2,5,7.5,25,0,7.085839690916153,0.1977664395512184,-0.414160309,0.416765169,0.45895569092581573,25,25,0,-0.414160309,0.41416030908384643
12,2,6,7,25,0,6.392174320144505,0.2191215305139601,-0.60782568,0.60782568,0.646116323,25,25,0,-0.60782568,0.6078256798554947
13,3,1,6.5,25,0,6.490336098169202,0.29072707395927405,-0.009663902,0.195731451,0.29088764589015553,25,25,0,-0.009663902,0.009663902
14,3,2,6,25,0,5.793932075,0.26779863683019506,-0.206067925,0.308309359,0.33790545974044894,25,25,0,-0.206067925,0.20606792529234977
15,3,3,5.5,25,0,5.161704382774507,0.2429898056156938,-0.338295617,0.350381968,0.4165188714417752,25,25,0,-0.338295617,0.3382956172254932
16,3,4,5,25,0,4.5531852800552866,0.22847058691826272,-0.44681472,0.44681472,0.5018388217805078,25,25,0,-0.44681472,0.4468147199447135
17,3,5,4.5,25,0,4.036961036,0.2584653935159043,-0.463038964,0.470678315,0.5302918457886656,25,25,0,-0.463038964,0.4630389638730402
18,3,6,4,25,0,3.2974005083736198,0.2559886986638418,-0.702599492,0.702599492,0.74778089,25,25,0,-0.702599492,0.7025994916263801
19,4,1,3.5,25,0,3.368435531,0.23951287541891295,-0.131564469,0.17352122,0.2732684154438212,25,25,0,-0.131564469,0.13156446856101056
20,4,2,3,25,0,2.747169947091392,0.24695742576563878,-0.252830053,0.28102947,0.3534275113719369,25,25,0,-0.252830053,0.25283005290860816
21,4,3,2.5,25,0,2.1407197478098436,0.1839794048718655,-0.359280252,0.381010035,0.4036467775553623,25,25,0,-0.359280252,0.35928025219015636
22,4,4,2,25,0,1.4378238751916625,0.033851239,-0.562176125,0.562176125,0.5631943728890411,25,25,0,-0.562176125,0.5621761248083373
23,4,5,1.5,25,0,0.8100474450251355,0.24477244162704886,-0.689952555,0.689952555,0.732084747,25,25,0,-0.689952555,0.6899525549748645
24,4,6,1,25,0,-0.109871014,0.5002909388968739,-1.109871014,1.109871014,1.2174172215024015,25,25,0,-1.109871014,1.1098710139778907
