sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,712.1073038014252,353.79603383431856,12.5,712,354,11.930382269591318,-0.56961773,0.56961773,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,226.57385591981273,230.44429218483236,4.0038534
2,1,1,1,1,2,7.5,5,727.2324947374935,353.1344802231906,12.5,727,353,12.505051614040317,0.005051614,0.005051614,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,225.27184485783653,228.8765409580159,3.7241343000023335
3,1,1,1,1,3,10,5,742.4111723232743,352.4705871846522,12.5,742,352,12.474364677465147,-0.025635323,0.025635322534853344,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,303.97541164519293,311.83920060452874,2.583550199997262
4,1,1,1,1,4,12.5,5,757.6436207755729,351.8043422874781,12.5,758,352,12.433908449374675,-0.066091551,0.066091551,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,272.2847757,280.4228546843201,2.6248888000009174
5,1,1,1,1,5,15,5,772.9301263284592,351.13573301221123,12.5,773,351,13.00132426492896,0.5013242649289609,0.5013242649289609,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,211.5136876171859,214.84655451967356,2.5893819000011717
6,1,1,1,2,1,5,7.5,711.0122175117597,368.6706060452028,12.5,711,369,12.431945848441245,-0.068054152,0.068054152,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,237.7789370203775,241.80161673044222,2.6379471000000194
7,1,1,1,2,2,7.5,7.5,726.1769238983907,368.03356504672195,12.5,726,368,12.401574472854467,-0.098425527,0.098425527,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,178.1054996,182.43995382552575,2.678005999998277
8,1,1,1,2,3,10,7.5,741.3954039060867,367.39426511883073,12.5,741,367,12.371090354395974,-0.128909646,0.1289096456040255,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,198.09222954038592,201.63366763923727,2.6758294999999634
9,1,1,1,2,4,12.5,7.5,756.6679440624723,366.7526942250388,12.5,757,367,12.925121361647474,0.4251213616474736,0.4251213616474736,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,242.4189900080363,247.89968868330354,2.701187899998331
10,1,1,1,2,5,15,7.5,771.9948329344408,366.1088402431897,12.5,772,366,12.300183917550632,-0.199816082,0.19981608244936844,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,208.2822888994974,213.5001923499775,2.469643200001883
11,1,1,1,3,1,5,10,709.9111227862855,383.6267909227352,12.5,710,384,12.329541090710618,-0.170458909,0.17045890928938157,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,162.4144890023287,163.7277405671361,2.474430599999323
12,1,1,1,3,2,7.5,10,725.1155511553685,383.01454210849323,12.5,725,383,12.29942924131084,-0.200570759,0.2005707586891603,valid,,,Shared Pattern Plane,Region-SIFT(21/28),117,1,145.42444082441784,147.34143885205702,2.7340616999972553
