block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,12.03468373,0.279417193,-0.465316269,0.474239457,0.542764404,25,25,0,-0.465316269,0.465316269
2,1,2,12,25,0,10.81851262,0.706927621,-1.181487377,1.181487377,1.376829359,25,25,0,-1.181487377,1.181487377
3,1,3,11.5,25,0,10.5825849,0.265629678,-0.917415098,0.917415098,0.955096638,25,25,0,-0.917415098,0.917415098
4,1,4,11,25,0,9.891320614,0.36592684,-1.108679386,1.126421187,1.167506931,25,25,0,-1.108679386,1.108679386
5,1,5,10.5,25,0,9.452914952,0.244437779,-1.047085048,1.047085048,1.075238078,25,25,0,-1.047085048,1.047085048
6,1,6,10,25,0,9.066628087,0.202887936,-0.933371913,0.933371913,0.955168385,25,25,0,-0.933371913,0.933371913
7,2,1,9.5,25,0,8.967071356,0.431367252,-0.532928644,0.592888023,0.685631567,25,25,0,-0.532928644,0.532928644
8,2,2,9,25,0,8.06814845,0.334983677,-0.93185155,0.93185155,0.99023299,25,25,0,-0.93185155,0.93185155
9,2,3,8.5,25,0,7.696739421,0.190118113,-0.803260579,0.803260579,0.825452878,25,25,0,-0.803260579,0.803260579
10,2,4,8,25,0,7.022066431,0.219534429,-0.977933569,0.977933569,1.002272134,25,25,0,-0.977933569,0.977933569
11,2,5,7.5,25,0,6.645077813,0.193735498,-0.854922187,0.854922187,0.876598762,25,25,0,-0.854922187,0.854922187
12,2,6,7,25,0,6.248702454,0.199586061,-0.751297546,0.751297546,0.777356159,25,25,0,-0.751297546,0.751297546
13,3,1,6.5,25,0,6.16288829,0.350361287,-0.33711171,0.410587723,0.486207092,25,25,0,-0.33711171,0.33711171
14,3,2,6,25,0,5.032157456,0.510508503,-0.967842544,0.979315697,1.094229465,25,25,0,-0.967842544,0.967842544
15,3,3,5.5,25,0,4.707784501,0.191040386,-0.792215499,0.792215499,0.81492443,25,25,0,-0.792215499,0.792215499
16,3,4,5,25,0,4.16283922,0.285330958,-0.83716078,0.83716078,0.88445007,25,25,0,-0.83716078,0.83716078
17,3,5,4.5,25,0,3.780335932,0.20981604,-0.719664068,0.719664068,0.749626001,25,25,0,-0.719664068,0.719664068
18,3,6,4,25,0,3.096869026,0.396542171,-0.903130974,0.903130974,0.986352498,25,25,0,-0.903130974,0.903130974
19,4,1,3.5,25,0,3.190873671,0.416683135,-0.309126329,0.422333927,0.518829377,25,25,0,-0.309126329,0.309126329
20,4,2,3,25,0,2.435928986,0.427860654,-0.564071014,0.613773122,0.70798365,25,25,0,-0.564071014,0.564071014
21,4,3,2.5,25,0,1.886446701,0.324805647,-0.613553299,0.61900149,0.694223566,25,25,0,-0.613553299,0.613553299
22,4,4,2,25,0,1.109285314,0.305633771,-0.890714686,0.890714686,0.941692441,25,25,0,-0.890714686,0.890714686
23,4,5,1.5,25,0,0.885747506,0.492396229,-0.614252494,0.674963851,0.787248482,25,25,0,-0.614252494,0.614252494
24,4,6,1,25,0,0.763821208,0.641000493,-0.236178792,0.531504654,0.683126675,25,25,0,-0.236178792,0.236178792
