sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,655.275764762379,270.339314343368,12.5,655,270,12.6050368249063,0.105036824906289,0.105036824906289,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,301.16746553088,309.676954167472,4.56031879999864
2,1,1,1,1,2,7.5,5,671.100592033225,270.534532360213,12.5,671,271,12.1738825178062,-0.326117482193837,0.326117482193837,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,204.263187118813,209.31064480914,3.26537760000065
3,1,1,1,1,3,10,5,686.975630096133,270.730369786742,12.5,687,271,11.7429760452416,-0.757023954758363,0.757023954758363,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,233.733393117107,235.844791613294,2.95402660000036
4,1,1,1,1,4,12.5,5,702.901118302498,270.926829575638,12.5,703,271,12.3682386067066,-0.131761393293433,0.131761393293433,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,257.206686991737,261.44780848721,2.84021270000085
5,1,1,1,1,5,15,5,718.87729752743,271.123914698381,12.5,719,271,11.9522735577481,-0.547726442251902,0.547726442251902,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,241.025142644448,246.14607842967,2.92594390000158
6,1,1,1,2,1,5,7.5,654.491544468781,286.771929611087,12.5,654,287,12.0337340230074,-0.466265976992577,0.466265976992577,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,211.253017985632,214.933815375049,2.90277620000052
7,1,1,1,2,2,7.5,7.5,670.322464526129,286.993278517901,12.5,670,287,12.1312633927063,-0.368736607293712,0.368736607293712,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,249.697559672563,256.03987641577,2.98948599999858
8,1,1,1,2,3,10,7.5,686.203638028307,287.215330071499,12.5,686,287,11.6863141046675,-0.813685895332476,0.813685895332476,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,222.560098675824,224.462021180606,2.7963826999985
9,1,1,1,2,4,12.5,7.5,702.135304641431,287.438087622909,12.5,702,287,11.7834238966458,-0.716576103354226,0.716576103354226,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,205.814458720899,210.238149973749,2.85919569999896
10,1,1,1,2,5,15,7.5,718.117705558044,287.661554544499,12.5,718,288,11.8772095114386,-0.622790488561371,0.622790488561371,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,212.660181119202,216.05172610882,2.76372080000147
11,1,1,1,3,1,5,10,653.706597946263,303.219762338142,12.5,654,303,12.5065030296673,0.00650302966725569,0.00650302966725569,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,221.108706736691,225.040733026453,3.92817339999965
12,1,1,1,3,2,7.5,10,669.543615289925,303.467290497808,12.5,670,303,12.0796130757232,-0.420386924276844,0.420386924276844,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,304.660575815231,318.720773007491,3.72529220000069
13,1,1,1,3,3,10,10,685.4309287851,303.715604772279,12.5,685,304,11.626513436185,-0.873486563815039,0.873486563815039,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,201.923402737814,206.28481545505,3.65398640000058
14,1,1,1,3,4,12.5,10,701.368778413172,303.9647089124,12.5,701,304,11.7236249388931,-0.776375061106906,0.776375061106906,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,142.90065854996,145.659902393291,3.90278289999696
15,1,1,1,3,5,15,10,717.357405684678,304.214606692911,12.5,717,304,11.8205473839959,-0.679452616004113,0.679452616004113,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,216.502183271337,223.459028457582,2.93647749999946
16,1,1,1,4,1,5,12.5,652.920924185569,319.682833672568,12.5,653,320,11.9212308720858,-0.578769127914208,0.578769127914208,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,210.356563389491,214.092967640722,2.95454430000245
17,1,1,1,4,2,7.5,12.5,668.764043320019,319.95658954883,12.5,669,320,12.0186867330424,-0.481313266957606,0.481313266957606,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,281.652694425633,288.399193273447,2.98192439999912
18,1,1,1,4,3,10,12.5,684.657501366669,320.231215239483,12.5,685,320,12.1025807883219,-0.397419211678073,0.397419211678073,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,214.436358575972,220.389859951633,3.17100919999939
19,1,1,1,4,4,12.5,12.5,700.601538622725,320.506714896661,12.5,701,321,11.669864973915,-0.83013502608496,0.83013502608496,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,191.169793799567,192.771081747491,3.31147399999827
20,1,1,1,4,5,15,12.5,716.596396917273,320.783092698971,12.5,717,321,12.2933473816342,-0.206652618365824,0.206652618365824,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,243.048516033314,247.449615130541,2.83585429999948
21,1,1,1,5,1,5,15,652.134522175573,336.161164801603,12.5,652,336,12.374171955262,-0.125828044737979,0.125828044737979,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,207.472027288164,211.977340780454,2.96224449999863
22,1,1,1,5,2,7.5,15,667.983747609952,336.461196959317,12.5,668,336,12.4843598093023,-0.0156401906977397,0.0156401906977397,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,221.810248994575,223.786821548162,3.30125939999925
23,1,1,1,5,3,10,15,683.883354771314,336.762182863214,12.5,684,337,12.0422300219886,-0.457769978011408,0.457769978011408,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,200.107737046701,204.908877572392,2.92314569999871
24,1,1,1,5,4,12.5,15,699.833584273239,337.064127068204,12.5,700,337,12.139357156204,-0.360642843795992,0.360642843795992,valid,,,Shared Pattern Plane,Region-SIFT(21/28),102,1,155.10204015863,156.127728057055,2.79962119999982
