block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,25,0,13.22176926,0.691454555,0.721769264,0.840672687,0.999530025,25,25,0,0.721769264,0.721769264
2,1,2,12,25,0,13.18981568,1.017064849,1.18981568,1.279812633,1.565273861,25,25,0,1.18981568,1.18981568
3,1,3,11.5,25,0,12.9315934,0.612751275,1.431593402,1.431593402,1.557216682,25,25,0,1.431593402,1.431593402
4,1,4,11,25,0,11.9416855,1.182173728,0.941685496,1.278808165,1.511392172,25,25,0,0.941685496,0.941685496
5,1,5,10.5,25,0,10.67593724,1.087943116,0.175937239,0.898378674,1.102077192,25,25,0,0.175937239,0.175937239
6,1,6,10,8,17,0.856398425,8.983782278,-9.143601575,9.484512721,12.81849421,25,25,0,-9.143601575,9.143601575
7,2,1,9.5,25,0,11.02597851,2.319904848,1.525978512,2.344754087,2.77679112,25,25,0,1.525978512,1.525978512
8,2,2,9,23,2,9.2150916,1.743896675,0.2150916,1.559217562,1.757111268,25,25,0,0.2150916,0.2150916
9,2,3,8.5,25,0,7.766317728,1.161823061,-0.733682272,1.101746471,1.374089699,25,25,0,-0.733682272,0.733682272
10,2,4,8,25,0,6.858615069,0.894319879,-1.141384931,1.180997344,1.450023313,25,25,0,-1.141384931,1.141384931
11,2,5,7.5,25,0,6.115805971,1.321314597,-1.384194029,1.424758289,1.913600108,25,25,0,-1.384194029,1.384194029
12,2,6,7,22,3,7.439070663,2.961711227,0.439070663,2.742622757,2.994080232,25,25,0,0.439070663,0.439070663
13,3,1,6.5,25,0,6.63923641,3.275185248,0.13923641,2.750470628,3.278143558,25,25,0,0.13923641,0.13923641
14,3,2,6,25,0,6.283140197,1.054500856,0.283140197,0.895840041,1.091851834,25,25,0,0.283140197,0.283140197
15,3,3,5.5,25,0,5.518847575,0.647080626,0.018847575,0.574871579,0.647355055,25,25,0,0.018847575,0.018847575
16,3,4,5,25,0,4.619851576,0.422486871,-0.380148424,0.44219388,0.56833791,25,25,0,-0.380148424,0.380148424
17,3,5,4.5,23,2,5.089928942,1.136455676,0.589928942,1.093565924,1.280448226,25,25,0,0.589928942,0.589928942
18,3,6,4,25,0,5.38514369,2.776238497,1.38514369,2.560079005,3.102599432,25,25,0,1.38514369,1.38514369
19,4,1,3.5,25,0,4.255050575,1.248530536,0.755050575,1.256922725,1.459085285,25,25,0,0.755050575,0.755050575
20,4,2,3,25,0,3.669005894,1.457437238,0.669005894,1.268295513,1.603649646,25,25,0,0.669005894,0.669005894
21,4,3,2.5,25,0,2.206492263,0.738729517,-0.293507737,0.666946638,0.794901308,25,25,0,-0.293507737,0.293507737
22,4,4,2,25,0,2.148786718,0.860929123,0.148786718,0.706814415,0.873691274,25,25,0,0.148786718,0.148786718
23,4,5,1.5,25,0,1.864145446,0.997525445,0.364145446,0.916423925,1.061912859,25,25,0,0.364145446,0.364145446
24,4,6,1,25,0,1.675871467,2.33843661,0.675871467,1.885872139,2.434150369,25,25,0,0.675871467,0.675871467
