sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,767.407673298645,352.579072695019,12.5,767,353,14.8123329395066,2.31233293950656,2.31233293950656,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.50353840000753
2,1,1,1,1,2,7.5,5,783.241125882024,352.857508439176,12.5,783,353,12.8118487092732,0.311848709273237,0.311848709273237,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.51628209999762
3,1,1,1,1,3,10,5,799.139427899355,353.13708457898,12.5,799,353,13.2047645927822,0.70476459278216,0.70476459278216,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.50651799999468
4,1,1,1,1,4,12.5,5,815.102978576161,353.417808134925,12.5,815,353,12.5954522945001,0.0954522945000527,0.0954522945000527,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.511305299995
5,1,1,1,1,5,15,5,831.132180421651,353.699686185248,12.5,831,354,11.4729952523186,-1.02700474768143,1.02700474768143,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.5342582000012
6,1,1,1,2,1,5,7.5,767.957489746939,369.422004023798,12.5,768,369,12.9251469798769,0.425146979876894,0.425146979876894,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.51323690000572
7,1,1,1,2,2,7.5,7.5,783.76379460752,369.734302685476,12.5,784,370,14.266289906195,1.76628990619502,1.76628990619502,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.52967160000117
8,1,1,1,2,3,10,7.5,799.634721891267,370.047878147547,12.5,800,370,13.5381070825877,1.03810708258765,1.03810708258765,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.57017839999753
9,1,1,1,2,4,12.5,7.5,815.570668712981,370.362738256149,12.5,816,370,12.8214025590471,0.321402559047081,0.321402559047081,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.5147544999927
10,1,1,1,2,5,15,7.5,831.572035447919,370.678890921836,12.5,832,371,13.6251885986178,1.12518859861784,1.12518859861784,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.52796510000189
11,1,1,1,3,1,5,10,768.505350370534,386.205021137219,12.5,769,386,13.2566327720288,0.756632772028818,0.756632772028818,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.53552730000229
12,1,1,1,3,2,7.5,10,784.284600292898,386.550940004054,12.5,784,387,13.2413896108361,0.741389610836094,0.741389610836094,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.53956309999921
13,1,1,1,3,3,10,10,800.12824681713,386.898270598295,12.5,800,387,12.7988633203956,0.298863320395553,0.298863320395553,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.53011269999843
14,1,1,1,3,4,12.5,10,816.03668496216,387.247021579699,12.5,816,387,12.9193851691268,0.419385169126778,0.419385169126778,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.55062220001128
15,1,1,1,3,5,15,10,832.010312984351,387.597201678999,12.5,832,388,13.9157381185878,1.41573811858781,1.41573811858781,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.55269599999883
16,1,1,1,4,1,5,12.5,769.051265586885,402.928443160832,12.5,769,403,12.0407119543917,-0.459288045608346,0.459288045608346,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58657039998798
17,1,1,1,4,2,7.5,12.5,784.803552881579,403.307741464575,12.5,785,403,13.966604034042,1.46660403404205,1.46660403404205,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.5910745000001
18,1,1,1,4,3,10,12.5,800.620012138038,403.688584960821,12.5,801,404,13.1172124166258,0.617212416625806,0.617212416625806,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.57473839999875
19,1,1,1,4,4,12.5,12.5,816.501036294043,404.070983111095,12.5,817,404,13.9917901689201,1.4917901689201,1.4917901689201,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.53324249999423
20,1,1,1,4,5,15,12.5,832.447021501985,404.454945454324,12.5,832,404,13.8425048033674,1.34250480336737,1.34250480336737,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.53448469999421
21,1,1,1,5,1,5,15,769.595245739595,419.592586957827,12.5,770,420,12.5210700764707,0.0210700764706768,0.0210700764706768,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.55444550000539
22,1,1,1,5,2,7.5,15,785.32066224635,420.00502585594,12.5,785,420,13.208344513811,0.708344513811006,0.708344513811006,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.60019869999087
23,1,1,1,5,3,10,15,801.110027247743,420.419141965378,12.5,801,420,13.1089787678909,0.60897876789085,0.60897876789085,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.54106989999127
24,1,1,1,5,4,12.5,15,816.963731614995,420.83494553773,12.5,817,421,13.2494294712756,0.749429471275642,0.749429471275642,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.62358559999848
25,1,1,1,5,5,15,15,832.882169411319,421.252446908303,12.5,833,421,13.2920474841175,0.792047484117473,0.792047484117473,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.5736418000015
26,2,1,2,1,1,25,5,895.913666509782,354.838886949679,12,896,355,11.5736606223889,-0.426339377611137,0.426339377611137,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.61151650000829
27,2,1,2,1,2,27.5,5,912.277279157481,355.126645708589,12,912,355,13.0391276010067,1.03912760100674,1.03912760100674,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.59242450000602
28,2,1,2,1,3,30,5,928.709028910641,355.41560267778,12,929,355,11.8336652957276,-0.166334704272352,0.166334704272352,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.56442540000717
29,2,1,2,1,4,32.5,5,945.209342235407,355.70576535678,12,945,356,12.146321416781,0.146321416780987,0.146321416780987,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.5670739000052
30,2,1,2,1,5,35,5,961.778649164333,355.997141307833,12,962,356,12.0058482084598,0.00584820845978484,0.00584820845978484,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.55756869999459
31,2,1,2,2,1,25,7.5,896.239825030337,371.956587658575,12,896,372,12.7800832515519,0.780083251551948,0.780083251551948,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.59050089999801
32,2,1,2,2,2,27.5,7.5,912.574413446696,372.27932406955,12,913,372,12.69345283353,0.693452833530031,0.693452833530031,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58796960000473
33,2,1,2,2,3,30,7.5,928.976894404449,372.603401891437,12,929,373,12.9164062686222,0.916406268622231,0.916406268622231,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58199819999572
34,2,1,2,2,4,32.5,7.5,945.447692064541,372.928829504746,12,945,373,13.3735637633857,1.37356376338567,1.37356376338567,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.60522160000983
35,2,1,2,2,5,35,7.5,961.987234128569,373.255615359943,12,962,373,13.45042896174,1.45042896173996,1.45042896173996,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.55574229999911
36,2,1,2,3,1,25,10,896.564804154692,389.012390394853,12,897,389,14.2304787511435,2.23047875114352,2.23047875114352,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58438070000557
37,2,1,2,3,2,27.5,10,912.870471067729,389.369849580131,12,913,389,11.4677121717017,-0.532287828298296,0.532287828298296,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.60801589999755
38,2,1,2,3,3,30,10,929.243787272312,389.728791799546,12,929,390,14.1513188498452,2.15131884984516,2.15131884984516,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.57362009999633
39,2,1,2,3,4,32.5,10,945.685174640768,390.089226301546,12,946,390,14.8206080800434,2.82060808004343,2.82060808004343,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.59137369999371
40,2,1,2,3,5,35,10,962.195058560553,390.45116241164,12,962,390,12.6081608093364,0.608160809336379,0.608160809336379,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.61070830000972
41,2,1,2,4,1,25,12.5,896.888610268384,406.006630289187,12,897,406,13.7889483720482,1.78894837204819,1.78894837204819,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58832819999952
42,2,1,2,4,2,27.5,12.5,913.16545786197,406.398559446333,12,913,406,13.3912216328852,1.3912216328852,1.3912216328852,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58153340000717
43,2,1,2,4,3,30,12.5,929.509712802073,406.792111700602,12,930,407,15.1292068212019,3.12920682120191,3.12920682120191,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.68785420000495
44,2,1,2,4,4,32.5,12.5,945.921794688836,407.187297155519,12,946,407,14.3624217471615,2.36242174716154,2.36242174716154,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.59501509999973
45,2,1,2,4,5,35,12.5,962.402126612239,407.584125998641,12,962,408,14.9885906852849,2.9885906852849,2.9885906852849,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.57092290000583
46,2,1,2,5,1,25,15,897.211249710937,422.939640057304,12,897,423,13.4506377292028,1.4506377292028,1.4506377292028,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.60400169999048
47,2,1,2,5,2,27.5,15,913.459379628628,423.365788439241,12,913,423,12.3269377145605,0.326937714560495,0.326937714560495,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.57901539999875
48,2,1,2,5,3,30,15,929.77467624331,423.793698438017,12,930,424,13.6984168940727,1.69841689407271,1.69841689407271,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.59218319998763
49,2,1,2,5,4,32.5,15,946.157556899233,424.22338099954,12,946,424,13.0048237483647,1.00482374836471,1.00482374836471,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.57187349999731
50,2,1,2,5,5,35,15,962.608442405414,424.654847160594,12,963,425,12.5133497795728,0.513349779572829,0.513349779572829,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.59179590000713
51,3,1,3,1,1,45,5,1028.75454050239,357.174931309546,11.5,1029,357,12.3006070689781,0.800607068978092,0.800607068978092,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.56306349999795
52,3,1,3,1,2,47.5,5,1045.67539340644,357.47248929605,11.5,1046,357,12.3536571761461,0.853657176146118,0.853657176146118,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.63618520001182
53,3,1,3,1,3,50,5,1062.66789713001,357.77130728249,11.5,1063,358,13.4268681877131,1.92686818771314,1.92686818771314,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58952090000093
54,3,1,3,1,4,52.5,5,1079.73250774344,358.071393288993,11.5,1080,358,12.1552944092319,0.655294409231901,0.655294409231901,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.62443940000958
55,3,1,3,1,5,55,5,1096.86968519588,358.372755403895,11.5,1097,358,13.0665050832883,1.56650508328834,1.56650508328834,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.64346180000575
56,3,1,3,2,1,45,7.5,1028.84152646514,374.576512698587,11.5,1029,375,13.8306833908918,2.33068339089179,2.33068339089179,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.63571100000991
57,3,1,3,2,2,47.5,7.5,1045.73133261344,374.910219020377,11.5,1046,375,13.3028291965602,1.80282919656018,1.80282919656018,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.57010879999143
58,3,1,3,2,3,50,7.5,1062.69252583515,375.245335797531,11.5,1063,375,13.2018936811436,1.70189368114363,1.70189368114363,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58405780000612
59,3,1,3,2,4,52.5,7.5,1079.72555967959,375.581871991211,11.5,1080,376,12.4881808672396,0.988180867239617,0.988180867239617,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.58511529999669
60,3,1,3,2,5,55,7.5,1096.83089154633,375.919836638652,11.5,1097,376,12.6433650155877,1.1433650155877,1.1433650155877,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.58085420000134
61,3,1,3,3,1,45,10,1028.92819259908,391.914112185587,11.5,1029,392,13.7501579148132,2.25015791481318,2.25015791481318,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.59993600001326
62,3,1,3,3,2,47.5,10,1045.78706571097,392.283698972772,11.5,1046,392,13.7599813432935,2.25998134329354,2.25998134329354,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.61630969999533
63,3,1,3,3,3,50,10,1062.71706360375,392.654844985124,11.5,1063,393,13.3590143090445,1.85901430904454,1.85901430904454,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.53805469999497
64,3,1,3,3,4,52.5,10,1079.71863732429,393.02756011067,11.5,1080,393,13.7343103034571,2.23431030345711,2.23431030345711,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.55243580001115
65,3,1,3,3,5,55,10,1096.79224174137,393.401854321219,11.5,1097,393,13.5032474793534,2.00324747935344,2.00324747935344,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.67811980000988
66,3,1,3,4,1,45,12.5,1029.01454066486,409.188081994726,11.5,1029,409,13.3033922824489,1.80339228244889,1.80339228244889,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.68135380001331
67,3,1,3,4,2,47.5,12.5,1045.84259383606,409.593283595212,11.5,1046,410,13.3749621344871,1.87496213448714,1.87496213448714,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.63733749999665
68,3,1,3,4,3,50,12.5,1062.74151093855,410.000191523702,11.5,1063,410,12.660045988845,1.16004598884498,1.16004598884498,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.63333219999913
69,3,1,3,4,4,52.5,12.5,1079.71174053513,410.408816581111,11.5,1080,410,13.1927322334021,1.69273223340212,1.69273223340212,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.53065869999409
70,3,1,3,4,5,55,12.5,1096.75373498243,410.819169659703,11.5,1097,411,13.1126026899991,1.61260268999906,1.61260268999906,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.56766139999672
71,3,1,3,5,1,45,15,1029.10057241027,426.398771769561,11.5,1029,426,11.991831796394,0.491831796394028,0.491831796394028,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.54573160001019
72,3,1,3,5,2,47.5,15,1045.89791811738,426.839324727359,11.5,1046,427,12.3109089626664,0.810908962666407,0.810908962666407,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.55798539999523
