sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,911.54035163182,460.586419691007,12.5,912,461,13.9457872690608,1.44578726906078,1.44578726906078,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.92015530000208
2,1,1,1,1,2,7.5,5,923.656039545306,456.664211893071,12.5,924,457,13.3658629591056,0.86586295910562,0.86586295910562,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,124,1,,,1.86435599999095
3,1,1,1,1,3,10,5,935.838987678066,452.720229965725,12.5,936,453,12.1723816810531,-0.327618318946934,0.327618318946934,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,124,1,,,1.95151699999406
4,1,1,1,1,4,12.5,5,948.08975768158,448.754292085714,12.5,948,449,12.2228157614659,-0.277184238534138,0.277184238534138,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,124,1,,,1.77155910000147
5,1,1,1,1,5,15,5,960.408917478154,444.766214399729,12.5,960,445,12.0166536180555,-0.483346381944544,0.483346381944544,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.76977549999719
6,1,1,1,2,1,5,7.5,916.052079704301,473.29564241374,12.5,916,473,13.1796060612038,0.679606061203783,0.679606061203783,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.84206360000826
7,1,1,1,2,2,7.5,7.5,928.171072489153,469.41155797454,12.5,928,469,12.0866184488576,-0.41338155114236,0.41338155114236,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.99499890000152
8,1,1,1,2,3,10,7.5,940.35729275323,465.505927420858,12.5,940,466,13.6658516831672,1.16585168316715,1.16585168316715,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.95336569999927
9,1,1,1,2,4,12.5,7.5,952.611301447158,461.57857097046,12.5,953,462,12.9800279988579,0.480027998857906,0.480027998857906,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.82430200000817
10,1,1,1,2,5,15,7.5,964.933665779784,457.62930683538,12.5,965,458,12.6000634665889,0.100063466588947,0.100063466588947,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.74535820000165
11,1,1,1,3,1,5,10,920.556998883016,485.985684958501,12.5,921,486,12.7253990995189,0.225399099518873,0.225399099518873,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.74865399999544
12,1,1,1,3,2,7.5,10,932.679272718944,482.139613173342,12.5,933,482,11.2715803935746,-1.22841960642541,1.22841960642541,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.96329919999698
13,1,1,1,3,3,10,10,944.868741211695,478.27222232897,12.5,945,478,11.5611143539201,-0.938885646079859,0.938885646079859,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,2.00254050000513
14,1,1,1,3,4,12.5,10,957.125964611422,474.383334673062,12.5,957,474,12.0500510680897,-0.449948931910294,0.449948931910294,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.77932190000138
15,1,1,1,3,5,15,10,969.451509413913,470.472770471727,12.5,969,470,12.6659081229613,0.165908122961293,0.165908122961293,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.77003189999959
16,1,1,1,4,1,5,12.5,925.055124569847,498.656590711323,12.5,925,499,11.5541466865373,-0.945853313462722,0.945853313462722,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.75640100000601
17,1,1,1,4,2,7.5,12.5,937.180655733131,494.848421246445,12.5,937,495,9.12055813585446,-3.37944186414554,3.37944186414554,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,124,1,,,1.96864420000929
18,1,1,1,4,3,10,12.5,949.373348649204,491.019158822196,12.5,949,491,12.5906297638408,0.0906297638407825,0.0906297638407825,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,2.01476930000354
19,1,1,1,4,4,12.5,12.5,961.63376286813,487.168627705122,12.5,962,487,10.8752162520009,-1.6247837479991,1.6247837479991,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.96419260000403
20,1,1,1,4,5,15,12.5,973.962464173049,483.296650204197,12.5,974,483,12.4801691293825,-0.0198308706175396,0.0198308706175396,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.83164609999221
21,1,1,1,5,1,5,15,929.546472120262,511.308402927486,12.5,930,511,10.8519891389013,-1.64801086109871,1.64801086109871,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,124,1,,,1.74727140000323
22,1,1,1,5,2,7.5,15,941.67523698333,507.538025818575,12.5,942,508,11.0385552830549,-1.46144471694509,1.46144471694509,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.93582820000302
23,1,1,1,5,3,10,15,953.871130614238,503.746780898929,12.5,954,504,11.7643991823004,-0.735600817699572,0.735600817699572,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,2.12437359998876
24,1,1,1,5,4,12.5,15,966.134711863352,499.934494442975,12.5,966,500,14.271140446647,1.771140446647,1.771140446647,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.83284920000006
25,1,1,1,5,5,15,15,978.466545801577,496.100990791407,12.5,978,496,13.05142217692,0.551422176919999,0.551422176919999,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,124,1,,,1.74973940000928
26,2,1,2,1,1,25,5,1010.38103747641,428.588755873551,12,1010,429,11.7348422647561,-0.265157735243859,0.265157735243859,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.96491019999667
27,2,1,2,1,2,27.5,5,1023.05089077876,424.487148290391,12,1023,424,12.4246622739259,0.424662273925899,0.424662273925899,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,2.03420589999587
28,2,1,2,1,3,30,5,1035.79267811515,420.362253525249,12,1036,420,12.6894620892699,0.689462089269906,0.689462089269906,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.9273644000059
29,2,1,2,1,4,32.5,5,1048.60701384588,416.213872691467,12,1049,416,13.7945978414854,1.7945978414854,1.7945978414854,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.94864679999591
30,2,1,2,1,5,35,5,1061.49451934719,412.041804631104,12,1061,412,13.0369724250355,1.03697242503546,1.03697242503546,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.85839940000733
31,2,1,2,2,1,25,7.5,1014.91824765437,441.609465904235,12,1015,442,12.8027235393435,0.802723539343495,0.802723539343495,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.73103209999681
32,2,1,2,2,2,27.5,7.5,1027.59112356045,437.547864335478,12,1028,438,13.378805176318,1.37880517631796,1.37880517631796,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.73292740000761
33,2,1,2,2,3,30,7.5,1040.33589478668,433.463220629537,12,1040,433,13.4500653277024,1.45006532770243,1.45006532770243,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,2.00557300000219
34,2,1,2,2,4,32.5,7.5,1053.15317488452,429.355338145845,12,1053,429,13.5904053198392,1.59040531983924,1.59040531983924,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,2.02547720000439
35,2,1,2,2,5,35,7.5,1066.04358440669,425.224017999954,12,1066,425,13.4703996082042,1.47039960820415,1.47039960820415,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.98035070000333
36,2,1,2,3,1,25,10,1019.4484560933,454.610082615449,12,1019,455,13.0091438551597,1.00914385515973,1.00914385515973,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.811841799994
37,2,1,2,3,2,27.5,10,1032.12433013599,450.588368358895,12,1032,451,13.4040613421329,1.40406134213292,1.40406134213292,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,124,1,,,1.75015269999858
