sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,760.211317407167,355.489956948714,12.5,760,355,15.2991384919154,2.79913849191545,2.79913849191545,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.71090459999687
2,1,1,1,1,2,7.5,5,775.779543541491,355.638816801501,12.5,776,356,14.5345546087797,2.03455460877966,2.03455460877966,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.82586409999931
3,1,1,1,1,3,10,5,791.422931651019,355.788395336074,12.5,791,356,14.45403673204,1.95403673204003,1.95403673204003,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.93729030000395
4,1,1,1,1,4,12.5,5,807.142027365614,355.938697769623,12.5,807,356,12.2377757954342,-0.262224204565827,0.262224204565827,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.86287530000845
5,1,1,1,1,5,15,5,822.9373816092,356.089729369957,12.5,823,356,12.9578547045001,0.457854704500102,0.457854704500102,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.81780770000478
6,1,1,1,2,1,5,7.5,760.527017310386,372.086192249262,12.5,761,372,14.2654067425968,1.76540674259676,1.76540674259676,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.74053559999447
7,1,1,1,2,2,7.5,7.5,776.073236485849,372.27474205218,12.5,776,372,7.31133940925853,-5.18866059074147,5.18866059074147,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.75296570001228
8,1,1,1,2,3,10,7.5,791.694401367097,372.464200821959,12.5,792,372,13.2688574901495,0.768857490149486,0.768857490149486,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.9624654000072
9,1,1,1,2,4,12.5,7.5,807.391055214563,372.654575147446,12.5,807,373,4.14937366251454,-8.35062633748546,8.35062633748546,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,2.04239089999464
10,1,1,1,2,5,15,7.5,823.163746551985,372.845871681323,12.5,823,373,14.1202265715113,1.62022657151134,1.62022657151134,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.86776959999406
11,1,1,1,3,1,5,10,760.841797446794,388.634075724999,12.5,761,389,13.7065734568351,1.2065734568351,1.2065734568351,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.77032130000589
12,1,1,1,3,2,7.5,10,776.366071724426,388.862083468878,12.5,776,389,13.9016053739331,1.40160537393305,1.40160537393305,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.72033270000247
13,1,1,1,3,3,10,10,791.96507637029,389.091188790805,12.5,792,389,14.4198682482855,1.91986824828547,1.91986824828547,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.96509690000676
14,1,1,1,3,4,12.5,10,807.639352289084,389.321399635143,12.5,808,389,12.7220798388137,0.222079838813674,0.222079838813674,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,2.06863239999802
15,1,1,1,3,5,15,10,823.389445618286,389.552724023108,12.5,823,390,14.0271741751011,1.52717417510115,1.52717417510115,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.90487640000356
16,1,1,1,4,1,5,12.5,761.155661830046,405.133818372414,12.5,761,405,12.4492332262033,-0.0507667737966866,0.0507667737966866,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,2.06755649999832
17,1,1,1,4,2,7.5,12.5,776.658053009032,405.401053568836,12.5,777,405,11.5883246574529,-0.911675342547143,0.911675342547143,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,2.11369329999434
18,1,1,1,4,3,10,12.5,792.234960145215,405.669573295253,12.5,792,406,13.8817840496647,1.38178404966472,1.38178404966472,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.92045299999882
19,1,1,1,4,4,12.5,12.5,807.886921801162,405.939386835578,12.5,808,406,13.4699500133869,0.969950013386869,0.969950013386869,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.71178289999079
20,1,1,1,4,5,15,12.5,823.614481741906,406.210503563409,12.5,824,406,13.0070085854737,0.507008585473731,0.507008585473731,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.90790859999834
21,1,1,1,5,1,5,15,761.46861445048,421.585629962128,12.5,761,422,12.6814188043432,0.181418804343201,0.181418804343201,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,2.0017000999942
