block_id,row,column,true_height_mm,valid_count,failed_count,mean_height_mm,std_height_mm,mean_error_mm,mae_mm,rmse_mm,expected_count,processed_count,unmeasured_count,mean_height_error_mm,abs_mean_height_error_mm
1,1,1,12.5,24,1,13.9829064815789,1.29348924839965,1.48290648157893,1.63918727793537,1.96777185385763,25,25,0,1.48290648157893,1.48290648157893
2,1,2,12,21,4,13.0683240337359,1.14505084394104,1.06832403373589,1.25253413923424,1.56603246335056,25,25,0,1.06832403373589,1.06832403373589
3,1,3,11.5,23,2,11.6743876464805,1.09708449558904,0.174387646480521,0.907946376466398,1.11085797548871,25,25,0,0.174387646480521,0.174387646480521
4,1,4,11,15,10,11.5320343825347,1.44106542429806,0.532034382534694,1.08030737269962,1.53614131553917,25,25,0,0.532034382534694,0.532034382534694
5,1,5,10.5,10,15,11.3882512946055,0.393207344836584,0.888251294605497,0.888251294605497,0.971391979790742,25,25,0,0.888251294605497,0.888251294605497
6,1,6,10,0,25,,,,,,25,25,0,,
7,2,1,9.5,24,1,9.36817349466277,1.79581110910526,-0.131826505337227,1.44853590120525,1.80064315373571,25,25,0,-0.131826505337227,0.131826505337227
8,2,2,9,25,0,6.91059518303432,2.13379503501828,-2.08940481696568,2.1859683703302,2.98641821261323,25,25,0,-2.08940481696568,2.08940481696568
9,2,3,8.5,25,0,8.12030404461005,2.02552974796723,-0.379695955389954,1.73123849846717,2.06081046640386,25,25,0,-0.379695955389954,0.379695955389954
10,2,4,8,22,3,9.46957816697093,1.70053047847744,1.46957816697093,1.86658613170843,2.24754619464614,25,25,0,1.46957816697093,1.46957816697093
11,2,5,7.5,23,2,8.12200749930891,1.21378840036252,0.622007499308914,1.14413287092458,1.36388254994744,25,25,0,0.622007499308914,0.622007499308914
12,2,6,7,14,11,8.42078160936812,1.20406368191515,1.42078160936812,1.63400761207646,1.86236133218711,25,25,0,1.42078160936812,1.42078160936812
13,3,1,6.5,25,0,8.50903719678007,3.0125263375618,2.00903719678006,3.08612694200103,3.62098679817386,25,25,0,2.00903719678006,2.00903719678006
14,3,2,6,25,0,8.66474292033166,1.47196990986029,2.66474292033166,2.66672165495332,3.04426514071816,25,25,0,2.66474292033166,2.66474292033166
15,3,3,5.5,25,0,6.83998500059796,1.40357218843386,1.33998500059796,1.57927804497038,1.94050887397418,25,25,0,1.33998500059796,1.33998500059796
16,3,4,5,25,0,6.05976804000095,1.62198084594139,1.05976804000095,1.42125386585815,1.93750617114067,25,25,0,1.05976804000095,1.05976804000095
17,3,5,4.5,25,0,5.56265939130609,0.996287200745082,1.06265939130609,1.25279822823379,1.45665135440829,25,25,0,1.06265939130609,1.06265939130609
18,3,6,4,22,3,7.01615507092346,1.58131656213253,3.01615507092346,3.04219692414865,3.40554745694903,25,25,0,3.01615507092346,3.01615507092346
19,4,1,3.5,25,0,4.40510225719364,1.91145235720491,0.905102257193638,1.84171449717799,2.11491375943352,25,25,0,0.905102257193638,0.905102257193638
20,4,2,3,25,0,4.97072013273256,1.49456792311015,1.97072013273256,2.22359910906546,2.47335220264871,25,25,0,1.97072013273256,1.97072013273256
21,4,3,2.5,25,0,3.93808127567323,1.0136098550804,1.43808127567323,1.52326048488569,1.75939838972248,25,25,0,1.43808127567323,1.43808127567323
22,4,4,2,25,0,2.93221610975352,0.57260386163574,0.932216109753523,0.950163654406102,1.09403019046284,25,25,0,0.932216109753523,0.932216109753523
23,4,5,1.5,25,0,2.0138643378006,1.03029189219117,0.513864337800603,0.889267478369882,1.15132877180157,25,25,0,0.513864337800603,0.513864337800603
24,4,6,1,25,0,3.07758500338978,1.36424554746823,2.07758500338978,2.08624898950791,2.48546280601763,25,25,0,2.07758500338978,2.07758500338978
