sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,756.818041591172,331.53500281703,12.5,757,332,15.2466135052829,2.74661350528287,2.74661350528287,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,81,1,,,1.57141430000775
2,1,1,1,1,2,7.5,5,773.751484541155,331.391959090305,12.5,774,331,14.5631032902414,2.06310329024135,2.06310329024135,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,81,1,,,2.16638090000197
3,1,1,1,1,3,10,5,790.749198039609,331.248372443939,12.5,791,331,15.3228275519503,2.82282755195028,2.82282755195028,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,81,1,,,1.86255339998752
4,1,1,1,1,4,12.5,5,807.811548688647,331.104239781094,12.5,808,331,16.2638989748294,3.7638989748294,3.7638989748294,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+HighGrad+極線對齊,81,1,,,1.84056680000504
5,1,1,1,1,5,15,5,824.938905883845,330.959557981334,12.5,825,331,,,,failed,Top2-Geo: HIGH/MID 均未通過支援點與 RANSAC 門檻,,,,81,,,,1.67254699999467
6,1,1,1,2,1,5,7.5,757.727779067588,349.314539512244,12.5,758,349,15.7855472003924,3.28554720039235,3.28554720039235,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,81,1,,,1.90765509998892
7,1,1,1,2,2,7.5,7.5,774.633808126216,349.205360981691,12.5,775,349,14.2693180814893,1.7693180814893,1.7693180814893,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,81,1,,,2.02476209998713
8,1,1,1,2,3,10,7.5,791.603893076392,349.095768780483,12.5,792,349,15.5894933077213,3.08949330772132,3.08949330772132,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,81,1,,,1.80258679999679
9,1,1,1,2,4,12.5,7.5,808.638398664794,348.985760553099,12.5,809,349,14.3222737810201,1.82227378102013,1.82227378102013,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,81,1,,,1.80387649999466
10,1,1,1,2,5,15,7.5,825.737692412621,348.8753339261,12.5,826,349,14.2886314756568,1.78863147565685,1.78863147565685,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,81,1,,,1.95266619999893
