sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,681.663786600966,313.661004319991,12.5,682,314,12.7814679864341,0.281467986434093,0.281467986434093,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,109,1,,,1.86960999999428
2,1,1,1,1,2,7.5,5,698.289674934252,313.620788163045,12.5,698,314,14.4368706573363,1.93687065733631,1.93687065733631,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,109,1,,,2.24670340000011
3,1,1,1,1,3,10,5,715.003624500733,313.580358995864,12.5,715,314,14.1790732135511,1.67907321355113,1.67907321355113,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.50180299999192
4,1,1,1,1,4,12.5,5,731.806336800289,313.5397151216,12.5,732,314,16.3607760089312,3.86077600893115,3.86077600893115,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.3518436000013
5,1,1,1,1,5,15,5,748.698520803545,313.49885482533,12.5,749,313,15.6335182532795,3.13351825327952,3.13351825327952,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,109,1,,,2.09798989999399
6,1,1,1,2,1,5,7.5,682.223072613388,331.674395386979,12.5,682,332,14.1890613582765,1.68906135827654,1.68906135827654,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.2886290000024
7,1,1,1,2,2,7.5,7.5,698.831648356272,331.681750067921,12.5,699,332,15.3010605500472,2.80106055004715,2.80106055004715,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.23551040000166
8,1,1,1,2,3,10,7.5,715.528093960487,331.689143659773,12.5,716,332,15.4247168374553,2.92471683745531,2.92471683745531,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.19511749999947
9,1,1,1,2,4,12.5,7.5,732.31310860623,331.696576472148,12.5,732,332,14.8936498060366,2.39364980603661,2.39364980603661,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.48519209999358
10,1,1,1,2,5,15,7.5,749.187398911254,331.704048817955,12.5,749,332,14.6933109168904,2.19331091689043,2.19331091689043,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,109,1,,,2.28499620000366
11,1,1,1,3,1,5,10,682.781099322977,349.647227037313,12.5,683,350,15.1802446910678,2.68024469106777,2.68024469106777,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.36538040000596
12,1,1,1,3,2,7.5,10,699.37239824095,349.701938273529,12.5,699,350,14.2933026026039,1.79330260260386,1.79330260260386,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.39301980000164
13,1,1,1,3,3,10,10,716.051376270574,349.756938639162,12.5,716,350,14.3469033596292,1.84690335962918,1.84690335962918,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.26043500000378
14,1,1,1,3,4,12.5,10,732.818730282569,349.812230432204,12.5,733,350,14.4441909174607,1.94419091746071,1.94419091746071,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.37462760000199
15,1,1,1,3,5,15,10,749.675164552214,349.867815975062,12.5,750,350,15.1472187997823,2.64721879978235,2.64721879978235,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,109,1,,,2.47913069999777
16,1,1,1,4,1,5,12.5,683.337870978168,367.579636103892,12.5,683,368,14.458107530445,1.95810753044501,1.95810753044501,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.65450099999725
17,1,1,1,4,2,7.5,12.5,699.911928726928,367.68149069778,12.5,700,368,13.0276454164937,0.52764541649371,0.52764541649371,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.25777519999247
18,1,1,1,4,3,10,12.5,716.57347545715,367.783882948458,12.5,717,368,13.7763151258282,1.27631512582821,1.27631512582821,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.14359210000839
19,1,1,1,4,4,12.5,12.5,733.323205740236,367.88681712436,12.5,733,368,13.7125439847316,1.2125439847316,1.2125439847316,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.30574280000292
20,1,1,1,4,5,15,12.5,750.161821519323,367.990297539224,12.5,750,368,13.9626896144175,1.46268961441745,1.46268961441745,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,109,1,,,2.39018100000976
21,1,1,1,5,1,5,15,683.893391808307,385.471758804804,12.5,684,385,13.9481153540355,1.44811535403553,1.44811535403553,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.42269029999443
22,1,1,1,5,2,7.5,15,700.450243934202,385.620544637271,12.5,700,386,12.7194307942351,0.219430794235148,0.219430794235148,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.40996599999198
23,1,1,1,5,3,10,15,717.094395528189,385.77011497418,12.5,717,386,13.3691307126192,0.869130712619151,0.869130712619151,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.35830980000901
24,1,1,1,5,4,12.5,15,733.826538872446,385.920476036628,12.5,734,386,13.3465204377499,0.846520437749943,0.846520437749943,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.30737740000768
25,1,1,1,5,5,15,15,750.647373588252,386.071634111663,12.5,751,386,14.1157842315607,1.61578423156072,1.61578423156072,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,109,1,,,2.43667559999449
26,2,1,2,1,1,25,5,817.176420371341,313.333214475705,12,817,313,15.8511663044913,3.85116630449127,3.85116630449127,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.28648290000274
27,2,1,2,1,2,27.5,5,834.526865999233,313.291245696024,12,835,313,14.0906827936641,2.09068279366412,2.09068279366412,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.22836759999336
28,2,1,2,1,3,30,5,851.971199738157,313.249049811546,12,852,313,12.8085694412446,0.808569441244623,0.808569441244623,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.20861060000607
29,2,1,2,1,4,32.5,5,869.510185737846,313.206624973877,12,870,313,9.85874195052969,-2.14125804947031,2.14125804947031,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.29447870000149
30,2,1,2,1,5,35,5,887.144596463081,313.163969314512,12,887,313,15.0804912397279,3.08049123972787,3.08049123972787,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.2320369000081
31,2,1,2,2,1,25,7.5,817.591714991603,331.734339911401,12,818,332,14.3278923451236,2.32789234512361,2.32789234512361,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.19877770000312
32,2,1,2,2,2,27.5,7.5,834.923250205087,331.742014736365,12,835,332,13.70174267792,1.70174267792002,1.70174267792002,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.31762560000061
33,2,1,2,2,3,30,7.5,852.348462639152,331.749731043879,12,852,332,14.2122445481557,2.21224454815569,2.21224454815569,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.37298739999824
34,2,1,2,2,4,32.5,7.5,869.868113842166,331.757489171174,12,870,332,14.9197773816282,2.91977738162817,2.91977738162817,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.16780320000544
35,2,1,2,2,5,35,7.5,887.482973639595,331.765289459149,12,887,332,16.3983652118071,4.39836521180711,4.39836521180711,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.24463139999716
36,2,1,2,3,1,25,10,818.006054438916,350.093142965789,12,818,350,13.1981639496773,1.19816394967735,1.19816394967735,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.33316330000525
37,2,1,2,3,2,27.5,10,835.318720277385,350.150232971514,12,835,350,13.0606941203938,1.0606941203938,1.0606941203938,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.41555969999172
38,2,1,2,3,3,30,10,852.724853155211,350.207631192846,12,853,350,13.0943511503803,1.09435115038029,1.09435115038029,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.25145260000136
39,2,1,2,3,4,32.5,10,870.225212031187,350.265340132517,12,870,350,14.4795736983946,2.47957369839456,2.47957369839456,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.31685430000653
40,2,1,2,3,5,35,10,887.820564103472,350.323362320429,12,888,350,13.0075619015589,1.00756190155892,1.00756190155892,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.27930939999351
41,2,1,2,4,1,25,12.5,818.419442004823,368.40976948265,12,818,368,14.5353600955254,2.53536009552539,2.53536009552539,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.2440201999998
42,2,1,2,4,2,27.5,12.5,835.71327937472,368.516047426698,12,836,369,13.708337365457,1.70833736545696,1.70833736545696,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.15011059999233
43,2,1,2,4,3,30,12.5,853.100374308801,368.622898477916,12,853,369,13.4719496289472,1.47194962894721,1.47194962894721,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.30900449999899
44,2,1,2,4,4,32.5,12.5,870.58148318801,368.730327284585,12,871,369,12.983779555444,0.983779555443965,0.983779555443965,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.40295719999995
45,2,1,2,4,5,35,12.5,888.157370595136,368.838338545389,12,888,369,12.6426817600569,0.642681760056913,0.642681760056913,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,109,1,,,2.38035110000055
