sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,711.392425299143,356.351259792777,12.5,711,356,14.4564286931142,1.95642869311424,1.95642869311424,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,117,1,,,1.62981170001149
2,1,1,1,1,2,7.5,5,726.26281616398,355.704139500909,12.5,726,356,13.7973653273924,1.29736532739242,1.29736532739242,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,117,1,,,1.90449500000977
3,1,1,1,1,3,10,5,741.194019526647,355.05437280911,12.5,741,355,13.3621418750809,0.862141875080869,0.862141875080869,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,117,1,,,1.98211650000303
4,1,1,1,1,4,12.5,5,756.186409190755,354.401943450432,12.5,756,354,13.327834844806,0.827834844805972,0.827834844805972,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,117,1,,,1.82192460000806
5,1,1,1,1,5,15,5,771.240362029811,353.74683502433,12.5,771,354,13.5329958319922,1.03299583199216,1.03299583199216,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,117,1,,,1.74351719999686
6,1,1,1,2,1,5,7.5,710.211100457449,370.660614078621,12.5,710,371,15.8538499818209,3.35384998182088,3.35384998182088,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,117,1,,,2.21489669999573
7,1,1,1,2,2,7.5,7.5,725.124931113464,370.040787584708,12.5,725,370,16.0939102083329,3.59391020833292,3.59391020833292,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,117,1,,,1.92145080000046
8,1,1,1,2,3,10,7.5,740.099940383668,369.418418476035,12.5,740,369,14.7721066321964,2.27210663219645,2.27210663219645,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,117,1,,,2.0055313000048
9,1,1,1,2,4,12.5,7.5,755.136505486578,368.793491075208,12.5,755,369,15.8638195388695,3.36381953886946,3.36381953886946,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,117,1,,,1.82039700000314
10,1,1,1,2,5,15,7.5,770.235006748267,368.165989575678,12.5,770,368,17.3661068111472,4.86610681114725,4.86610681114725,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,117,1,,,1.85372860000643
