sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,651.739948514483,273.624299374282,12.5,652,274,12.0348753057787,-0.46512469422129,0.46512469422129,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.57004479999887
2,1,1,1,1,2,7.5,5,667.438920725342,273.757120832337,12.5,667,274,10.610107919611,-1.88989208038903,1.88989208038903,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,2.08455780000077
3,1,1,1,1,3,10,5,683.198187262887,273.890452411709,12.5,683,274,9.8203851155762,-2.6796148844238,2.6796148844238,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.84541030001128
4,1,1,1,1,4,12.5,5,699.018096149943,274.024297056853,12.5,699,274,11.3370524625625,-1.16294753743752,1.16294753743752,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.79036610000185
5,1,1,1,1,5,15,5,714.898998092912,274.158657734926,12.5,715,274,12.8821524006718,0.38215240067184,0.38215240067184,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.83950010000262
6,1,1,1,2,1,5,7.5,651.152774448528,289.896546402419,12.5,651,290,12.3745982863567,-0.125401713643306,0.125401713643306,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.70662799999991
7,1,1,1,2,2,7.5,7.5,666.847588044014,290.060524316904,12.5,667,290,10.2232159891649,-2.27678401083506,2.27678401083506,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.7632780999993
8,1,1,1,2,3,10,7.5,682.60266832476,290.225131891965,12.5,683,290,9.0977020720993,-3.4022979279007,3.4022979279007,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.89605989999836
9,1,1,1,2,4,12.5,7.5,698.418363086566,290.390372761338,12.5,698,290,8.7843856084587,-3.7156143915413,3.7156143915413,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,2.15538270000252
10,1,1,1,2,5,15,7.5,714.295022806541,290.556250586776,12.5,714,291,9.50255745794798,-2.99744254205202,2.99744254205202,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.78571130000637
11,1,1,1,3,1,5,10,650.565826817857,306.162518271125,12.5,651,306,10.1778148864601,-2.32218511353986,2.32218511353986,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.77177569999185
12,1,1,1,3,2,7.5,10,666.256483838583,306.357628581363,12.5,666,306,9.84563751776458,-2.65436248223542,2.65436248223542,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,2.51550450001378
13,1,1,1,3,3,10,10,682.007379921675,306.553487952786,12.5,682,307,10.4376777373815,-2.06232226261848,2.06232226261848,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.75899529999879
14,1,1,1,3,4,12.5,10,697.818862636108,306.750100707348,12.5,698,307,8.59970968007133,-3.90029031992867,3.90029031992867,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.70510429999558
15,1,1,1,3,5,15,10,713.691282229891,306.947471200315,12.5,714,307,11.6014746453826,-0.898525354617355,0.898525354617355,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.81803249999939
16,1,1,1,4,1,5,12.5,649.979105491512,322.42221860959,12.5,650,322,10.8662298093858,-1.63377019061424,1.63377019061424,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,2.01319509999303
17,1,1,1,4,2,7.5,12.5,665.665607976657,322.648437275796,12.5,666,323,9.69642783314213,-2.80357216685787,2.80357216685787,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,2.02152310000383
18,1,1,1,4,3,10,12.5,681.412321919793,322.875524265309,12.5,681,323,8.80904324469947,-3.69095675530053,3.69095675530053,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.94652569999744
19,1,1,1,4,4,12.5,12.5,697.219594663262,323.103484587234,12.5,697,323,5.45192169659921,-7.04807830340079,7.04807830340079,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.83137510000961
20,1,1,1,4,5,15,12.5,713.087776226175,323.332323289276,12.5,713,323,11.11716587533,-1.38283412467002,1.38283412467002,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.79555959999561
21,1,1,1,5,1,5,15,649.392610338639,338.675651044203,12.5,649,339,9.74610419141763,-2.75389580858237,2.75389580858237,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.73497189999034
22,1,1,1,5,2,7.5,15,665.074960325949,338.932954047466,12.5,665,339,8.81074286687574,-3.68925713312426,3.68925713312426,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.67779319999681
23,1,1,1,5,3,10,15,680.817494185377,339.191244497831,12.5,681,339,5.11410391096628,-7.38589608903372,7.38589608903372,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.97728390000702
24,1,1,1,5,4,12.5,15,696.620559032829,339.450528090488,12.5,697,339,7.35336984176151,-5.14663015823849,5.14663015823849,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,2.06020030000946
25,1,1,1,5,5,15,15,712.484504658711,339.710810564507,12.5,712,340,10.4808164707805,-2.01918352921946,2.01918352921946,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.81499790000089
26,2,1,2,1,1,25,5,779.039645936919,274.701320926682,12,779,275,10.3014449407092,-1.69855505929083,1.69855505929083,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.97399440000299
27,2,1,2,1,2,27.5,5,795.230869511778,274.838307086924,12,795,275,-3.32144191893421,-15.3214419189342,15.3214419189342,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.99873010000738
28,2,1,2,1,3,30,5,811.48524820868,274.975827572298,12,811,275,7.9366373793218,-4.0633626206782,4.0633626206782,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.90339360000507
29,2,1,2,1,4,32.5,5,827.803152261859,275.113885515177,12,828,275,3.62541387666775,-8.37458612333225,8.37458612333225,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGradInterp+極線對齊,102,1,,,1.78171100000327
30,2,1,2,1,5,35,5,844.184954805112,275.252484072467,12,844,275,6.75249222214706,-5.24750777785294,5.24750777785294,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,1.96992109999701
31,2,1,2,2,1,25,7.5,778.418416114209,291.226205679925,12,778,291,9.96835389509105,-2.03164610490895,2.03164610490895,valid,,,Shared Pattern Plane,Grad-SIFT+Top2Geo+MidGrad+極線對齊,102,1,,,2.08978530000604
