sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,823.911560151016,277.385410959718,12.5,824,277,12.5022433126207,0.0022433126207293,0.0022433126207293,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,252.075756920709,258.118598710548,3.5842030000058
2,1,1,1,1,2,7.5,5,840.004438345517,277.444447128057,12.5,840,277,12.5065909712984,0.00659097129836006,0.00659097129836006,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,234.639197622027,241.870487504235,3.34525100002065
3,1,1,1,1,3,10,5,856.152945725777,277.503687370144,12.5,856,278,12.5135975914342,0.0135975914342392,0.0135975914342392,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,203.115436790103,209.556216777423,4.85395730001619
4,1,1,1,1,4,12.5,5,872.357371236154,277.563132745962,12.5,872,278,12.5178589296504,0.0178589296503731,0.0178589296503731,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,189.225517006526,191.94379018825,4.17677399999229
5,1,1,1,1,5,15,5,888.618005825555,277.622784322847,12.5,889,278,12.5223553564546,0.0223553564545789,0.0223553564545789,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,177.128019160316,180.402334921017,4.01365739997709
6,1,1,1,2,1,5,7.5,824.579075316847,294.346052894778,12.5,825,294,12.5485291127323,0.0485291127323162,0.0485291127323162,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,216.068176980498,221.213769021452,3.55038900004001
7,1,1,1,2,2,7.5,7.5,840.626818779463,294.434098950641,12.5,841,294,12.5330294072831,0.0330294072831183,0.0330294072831183,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,211.281750828375,214.069626194975,3.33067769999616
8,1,1,1,2,3,10,7.5,856.72987559211,294.522448483582,12.5,857,295,12.0576138389081,-0.442386161091889,0.442386161091889,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,213.670232661817,216.46729009556,3.14135210000677
9,1,1,1,2,4,12.5,7.5,872.888532229517,294.611103065348,12.5,873,295,12.5639020982993,0.0639020982992591,0.0639020982992591,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,203.019978381465,208.660331465367,3.35995390004246
10,1,1,1,2,5,15,7.5,889.103077148088,294.700064278557,12.5,889,295,12.0854793508374,-0.414520649162558,0.414520649162558,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,179.958396914649,182.212145998993,3.23144380003214
11,1,1,1,3,1,5,10,825.242768500421,311.209583519319,12.5,825,311,12.5946770678172,0.0946770678172228,0.0946770678172228,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,184.365767681283,189.956770120966,3.54284830001416
12,1,1,1,3,2,7.5,10,841.245629545174,311.326306481716,12.5,841,311,12.0750921530484,-0.424907846951564,0.424907846951564,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,156.512234630787,157.205077155099,3.32487189996755
13,1,1,1,3,3,10,10,857.303490785998,311.443430608992,12.5,857,311,12.0999696343046,-0.400030365695358,0.400030365695358,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,163.576769165261,164.187061242834,3.29743829998188
14,1,1,1,3,4,12.5,10,873.416636256059,311.560957972852,12.5,873,312,12.1077235128411,-0.392276487158858,0.392276487158858,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,207.301555987767,214.474755936405,3.23901580000529
15,1,1,1,3,5,15,10,889.585351947642,311.678890659288,12.5,890,312,12.1130953935804,-0.386904606419638,0.386904606419638,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,210.895569086327,214.498246018744,3.16165630001342
16,1,1,1,4,1,5,12.5,825.902672433238,327.976834495733,12.5,826,328,12.1353250989616,-0.364674901038375,0.364674901038375,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,135.395022297915,138.177840292181,3.25332860002527
17,1,1,1,4,2,7.5,12.5,841.860901265625,328.121905662843,12.5,842,328,12.1403779159922,-0.359622084007805,0.359622084007805,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,200.040883565832,205.958001263283,3.23422380001284
18,1,1,1,4,3,10,12.5,857.873819791619,328.26747399651,12.5,858,328,12.6493299787856,0.149329978785559,0.149329978785559,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,231.515987251423,238.626158968568,3.21828089997871
19,1,1,1,4,4,12.5,12.5,873.941709630489,328.413542056845,12.5,874,328,12.1504329126244,-0.349567087375616,0.349567087375616,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,201.885098111693,207.639374484424,3.20425140002044
20,1,1,1,4,5,15,12.5,890.064854338388,328.560112421565,12.5,890,329,12.1580534835004,-0.341946516499551,0.341946516499551,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,144.208236389059,144.812591582121,3.20893949997844
21,1,1,1,5,1,5,15,826.558819474113,344.648628016954,12.5,827,345,12.1810331647594,-0.318966835240571,0.318966835240571,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,136.657635228596,137.080270251924,3.25768320000498
22,1,1,1,5,2,7.5,15,842.472664214516,344.821722901167,12.5,842,345,12.185723142584,-0.314276857415969,0.314276857415969,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,189.747822450204,194.082110006196,3.21025010000449
23,1,1,1,5,3,10,15,858.440890767716,344.99540929634,12.5,858,345,12.19067192357,-0.309328076429956,0.309328076429956,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,183.816960321154,188.616967758866,3.41643559996737
24,1,1,1,5,4,12.5,15,874.463778366356,345.169690239687,12.5,874,345,12.1956128400485,-0.304387159951483,0.304387159951483,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,154.511026990981,156.843030757016,3.22902999998769
25,1,1,1,5,5,15,15,890.541608158047,345.344568789251,12.5,891,345,12.7036599351698,0.203659935169766,0.203659935169766,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,193.406771338932,196.186596189496,3.19584059994668
26,2,1,2,1,1,25,5,954.228525091065,277.863474248748,12,954,278,12.0294738309195,0.0294738309194571,0.0294738309194571,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,165.141935080574,166.93922428177,3.205499600037
27,2,1,2,1,2,27.5,5,970.774640697647,277.924173102893,12,971,278,12.0356443122416,0.0356443122416383,0.0356443122416383,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,178.670828374732,181.797822809778,3.22145010001259
28,2,1,2,1,3,30,5,987.378754160263,277.985084720172,12,987,278,11.5589943528588,-0.441005647141223,0.441005647141223,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,199.394381577628,203.741855719392,3.20260359998792
29,2,1,2,1,4,32.5,5,1004.04117095759,278.046210221223,12,1004,278,11.5529846145919,-0.447015385408111,0.447015385408111,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,178.694350510552,181.404348393216,3.23303840000881
30,2,1,2,1,5,35,5,1020.76219871739,278.107550734566,12,1021,278,11.5832524925032,-0.416747507496773,0.416747507496773,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,158.541063732571,162.059467158455,3.71835519996239
31,2,1,2,2,1,25,7.5,954.525979086823,295.059007484013,12,955,295,11.5904070502023,-0.409592949797721,0.409592949797721,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,166.048900469523,166.679357557699,3.49292250000872
32,2,1,2,2,2,27.5,7.5,971.024362827375,295.149525980888,12,971,295,12.0938265080011,0.0938265080011185,0.0938265080011185,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,218.886877063973,221.767221131193,3.18862139998237
33,2,1,2,2,3,30,7.5,987.580408176482,295.240360838579,12,988,295,11.6026850894291,-0.397314910570932,0.397314910570932,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,185.369676213542,189.76068715284,3.23930100002326
34,2,1,2,2,4,32.5,7.5,1004.19441795303,295.331513718502,12,1004,295,11.608599294556,-0.391400705443953,0.391400705443953,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,193.06965119599,198.33350613993,3.21444619999966
35,2,1,2,2,5,35,7.5,1020.86669710002,295.422986293731,12,1021,295,11.1181572568962,-0.881842743103839,0.881842743103839,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,192.259151333602,195.753136290353,3.1743875000393
36,2,1,2,3,1,25,10,954.821706296555,312.15471685776,12,955,312,11.633988625662,-0.366011374337955,0.366011374337955,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,137.535392386825,139.131823593604,3.28965600003721
37,2,1,2,3,2,27.5,10,971.27263274353,312.274707955833,12,971,312,11.6398896274718,-0.360110372528187,0.360110372528187,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,141.282300050423,141.600895887581,3.31699339998886
38,2,1,2,3,3,30,10,987.780887467205,312.395117199527,12,988,312,11.6461169759649,-0.353883024035111,0.353883024035111,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,159.724496876247,162.786358703178,3.19233940000413
39,2,1,2,3,4,32.5,10,1004.34677065746,312.515946778394,12,1004,313,11.654486363175,-0.345513636825041,0.345513636825041,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,130.492065174365,131.714035633643,3.20473749999655
