sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,818.865187164451,276.450243918434,12.5,819,276,12.3463896624758,-0.153610337524157,0.153610337524157,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,267.679705920043,276.030358600882,3.5854687000392
2,1,1,1,1,2,7.5,5,834.821390994516,276.610559311157,12.5,835,277,12.8369351675812,0.336935167581183,0.336935167581183,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,219.259219326039,223.343862953579,3.30101989995455
3,1,1,1,1,3,10,5,850.839161371645,276.771493276148,12.5,851,277,12.3386540472182,-0.161345952781817,0.161345952781817,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,227.31155148158,233.878055119228,4.28582879999885
4,1,1,1,1,4,12.5,5,866.918855313699,276.93304940044,12.5,867,277,13.3462457289627,0.84624572896271,0.84624572896271,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,242.101730120624,246.163278541806,3.89702079998096
5,1,1,1,1,5,15,5,883.060832604295,277.095231298857,12.5,883,277,12.350197044803,-0.149802955197041,0.149802955197041,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,177.233358732355,179.301451934428,4.1990661000018
6,1,1,1,2,1,5,7.5,819.617257114841,293.265094256948,12.5,820,293,12.3567343888497,-0.143265611150307,0.143265611150307,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,189.127543101235,192.390516586578,3.21533979999367
7,1,1,1,2,2,7.5,7.5,835.525923195721,293.457195473954,12.5,836,293,12.8674834171487,0.367483417148661,0.367483417148661,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,178.707274849705,179.793996812989,3.14086439996026
8,1,1,1,2,3,10,7.5,851.49578360788,293.650035628182,12.5,851,294,12.3501638579989,-0.149836142001078,0.149836142001078,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,210.713300281101,216.296714747596,3.2105590000283
9,1,1,1,2,4,12.5,7.5,867.527192117214,293.843618991444,12.5,868,294,12.8788262970958,0.378826297095815,0.378826297095815,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,214.974966769244,219.816167819419,3.10422380000819
10,1,1,1,2,5,15,7.5,883.620505221722,294.037949868547,12.5,884,294,12.3815238698352,-0.118476130164792,0.118476130164792,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,180.919354292955,185.01023306768,3.32210729998769
11,1,1,1,3,1,5,10,820.364732666783,309.977222604975,12.5,820,310,12.3880402311098,-0.111959768890229,0.111959768890229,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,162.248794125754,166.676360625473,3.04556569998385
12,1,1,1,3,2,7.5,10,836.226143170088,310.200718512242,12.5,836,310,12.393758378212,-0.106241621788023,0.106241621788023,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,149.643796238067,151.363814365015,3.08295810001437
13,1,1,1,3,3,10,10,852.148379153549,310.425071483632,12.5,852,310,12.3994633247204,-0.100536675279617,0.100536675279617,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,164.211746012975,165.274653184619,3.0869649000233
14,1,1,1,3,4,12.5,10,868.13179117047,310.650286458631,12.5,868,311,12.4069767395205,-0.0930232604794874,0.0930232604794874,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,182.785046131396,184.106018794415,3.43501219997415
15,1,1,1,3,5,15,10,884.176732473112,310.876368414756,12.5,884,311,12.4125846663708,-0.0874153336291812,0.0874153336291812,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,172.112087362279,174.819519505293,3.10724630003097
16,1,1,1,4,1,5,12.5,821.107655792872,326.587567389685,12.5,821,327,12.4197687988138,-0.0802312011861623,0.0802312011861623,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,152.860824705558,154.699443589596,3.31302599998889
17,1,1,1,4,2,7.5,12.5,836.922090387565,326.842072223677,12.5,837,327,12.4254461328907,-0.0745538671092874,0.0745538671092874,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,141.052825284383,142.787433791303,3.15178379998542
18,1,1,1,4,3,10,12.5,852.79698493553,327.097550051694,12.5,853,327,12.431101191627,-0.0688988083729694,0.0688988083729694,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,231.000488999786,234.865492603608,3.0693274999503
19,1,1,1,4,4,12.5,12.5,868.732686816255,327.354006464183,12.5,869,327,12.9230648648009,0.423064864800871,0.423064864800871,valid,,,Shared Pattern Plane,Region-SIFT(21/28),32,1,234.246831704195,241.227365072689,3.03901240002597
