sample_id,block_id,row,column,sample_row,sample_column,model_x_mm,model_y_mm,u,v,true_height_mm,measured_u,measured_v,wound_height_mm,error_mm,abs_error_mm,status,failure_reason,measurement_warning,height_reference_source,method,candidate_frame,fused_count,group_score,objective_score,elapsed_seconds
1,1,1,1,1,1,5,5,848.591209450129,288.546544859694,12.5,849,289,12.5246644971895,0.0246644971894838,0.0246644971894838,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,193.268547808935,198.484176179592,4.58589440002106
2,1,1,1,1,2,7.5,5,864.328953312643,288.676081734696,12.5,864,289,12.9564177204754,0.456417720475438,0.456417720475438,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,195.754598234066,196.473754186312,3.79502679995494
3,1,1,1,1,3,10,5,880.123486499835,288.806086040843,12.5,880,289,12.5009660117141,0.000966011714080395,0.000966011714080395,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,232.284565924589,239.412173299453,5.14010810002219
4,1,1,1,1,4,12.5,5,895.975116951967,288.936560312783,12.5,896,289,12.4834427608362,-0.0165572391638396,0.0165572391638396,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,224.769977535268,229.674220815341,4.40203749999637
5,1,1,1,1,5,15,5,911.88415483974,289.067507103522,12.5,912,289,12.4917076131127,-0.0082923868873106,0.0082923868873106,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,179.756289836339,182.748121705993,4.91611330001615
6,1,1,1,2,1,5,7.5,848.660706607035,304.83647917402,12.5,849,305,12.5300190000264,0.0300190000263836,0.0300190000263836,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,205.929538029464,210.228557225642,4.48496290005278
7,1,1,1,2,2,7.5,7.5,864.37280488001,304.995093904933,12.5,864,305,12.9773077581249,0.477307758124924,0.477307758124924,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,215.680961691639,221.565869563833,4.17034710000735
8,1,1,1,2,3,10,7.5,880.141506927892,305.154280054912,12.5,880,305,12.5210344702677,0.0210344702676721,0.0210344702676721,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,184.384972056636,188.150888284946,3.3908726000227
9,1,1,1,2,4,12.5,7.5,895.967119180382,305.314040717387,12.5,896,305,12.5163805202404,0.0163805202403786,0.0163805202403786,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,216.64695778549,223.299229445607,4.48304939997615
10,1,1,1,2,5,15,7.5,911.849950283022,305.474379008156,12.5,912,305,12.5116934697746,0.0116934697745847,0.0116934697745847,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,154.358640682887,157.404210601818,4.19242139998823
11,1,1,1,3,1,5,10,848.729976940078,321.073246625472,12.5,849,321,12.5502096826978,0.0502096826978331,0.0502096826978331,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,166.494652207188,170.379613868013,4.44917719997466
12,1,1,1,3,2,7.5,10,864.416513068317,321.260748698105,12.5,864,321,12.5458298524905,0.0458298524905345,0.0458298524905345,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,163.175954575513,166.994146718153,4.78145680000307
13,1,1,1,3,3,10,10,880.159468329588,321.448925151894,12.5,880,321,12.9929151408909,0.492915140890872,0.492915140890872,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,197.323047807986,199.40920452555,3.81437330000335
14,1,1,1,3,4,12.5,10,895.959147652893,321.637779631674,12.5,896,322,12.5377411778052,0.0377411778051702,0.0377411778051702,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,203.178694073611,206.23735351315,3.61546919995453
15,1,1,1,3,5,15,10,911.815858168599,321.827315808592,12.5,912,322,12.5330083522862,0.0330083522862363,0.0330083522862363,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,181.782025321072,185.526965544681,3.38704329996835
16,1,1,1,4,1,5,12.5,848.799021557908,337.257107077892,12.5,849,337,12.5704778028008,0.0704778028008199,0.0704778028008199,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,136.856762831047,138.2622226911,3.3734835999785
17,1,1,1,4,2,7.5,12.5,864.460078579615,337.473307376618,12.5,864,337,13.0193481334215,0.519348133421465,0.519348133421465,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,154.268915092125,157.306420410823,3.28939210000681
18,1,1,1,4,3,10,12.5,880.177370994462,337.690284002816,12.5,880,338,13.0152399084036,0.515239908403592,0.515239908403592,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,225.273222925297,230.255669859927,3.65194359997986
19,1,1,1,4,4,12.5,12.5,895.951202240533,337.908041145435,12.5,896,338,12.9968324667784,0.496832466778374,0.496832466778374,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,203.700685430456,208.343844538362,3.30353229999309
20,1,1,1,4,5,15,12.5,911.781877942925,338.12658302362,12.5,912,338,12.5655980844823,0.0655980844822821,0.0655980844822821,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,175.369350253716,178.224038317161,3.2346639999887
21,1,1,1,5,1,5,15,848.867841561958,353.388318704359,12.5,849,353,12.5908084273367,0.0908084273366647,0.0908084273366647,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,133.830407617458,134.990413814249,3.29339080001228
22,1,1,1,5,2,7.5,15,864.503502111378,353.633029499977,12.5,865,354,12.5873694319147,0.0873694319147358,0.0873694319147358,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,158.437198841761,162.793872537071,3.27502830000594
23,1,1,1,5,3,10,15,880.195215210162,353.87861756355,12.5,880,354,12.5828962749527,0.0828962749526916,0.0828962749526916,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,176.061222687979,178.988191887575,3.49025659996551
24,1,1,1,5,4,12.5,15,895.943282815183,354.125087620948,12.5,896,354,12.5781402339321,0.0781402339321033,0.0781402339321033,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,155.941605582061,159.074424617941,3.21006890002172
25,1,1,1,5,5,15,15,911.748009056082,354.372444432048,12.5,912,354,12.5858533750191,0.0858533750190507,0.0858533750190507,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,195.007862400378,199.622619459022,3.22214909998002
26,2,1,2,1,1,25,5,976.10066336583,289.596071166492,12,976,290,12.0262726593984,0.0262726593984315,0.0262726593984315,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,145.831152494622,149.273526676919,3.48444859997835
27,2,1,2,1,2,27.5,5,992.301470486348,289.729419500613,12,992,290,11.5731810789716,-0.426818921028413,0.426818921028413,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,170.233324396043,174.601564492624,3.27350990002742
28,2,1,2,1,3,30,5,1008.5615940545,289.86325606655,12,1009,290,12.0093151181141,0.00931511811411667,0.00931511811411667,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,236.057260132845,240.498052195189,3.30416450003395
29,2,1,2,1,4,32.5,5,1024.88136043307,289.997583550585,12,1025,290,12.0058832729772,0.00588327297716873,0.00588327297716873,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,221.569435599998,227.696553541173,3.34954039996956
30,2,1,2,1,5,35,5,1041.2610983835,290.132404658742,12,1041,290,12.4548055298486,0.454805529848622,0.454805529848622,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,213.761429022733,218.052181636228,3.373425400001
31,2,1,2,2,1,25,7.5,975.95971479035,306.121571564463,12,976,306,12.0453205110269,0.0453205110269348,0.0453205110269348,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,155.345215257009,158.500177843749,3.35982000001241
32,2,1,2,2,2,27.5,7.5,992.13334879837,306.2848455309,12,992,306,12.0412628682838,0.041262868283793,0.041262868283793,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,163.556566792443,166.507713555452,3.44483430002583
33,2,1,2,2,3,30,7.5,1008.36610120166,306.448716301671,12,1008,306,12.037157601722,0.0371576017220487,0.0371576017220487,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,216.243882709079,221.036858349823,3.31452940002782
34,2,1,2,2,4,32.5,7.5,1024.65829673093,306.613187154956,12,1025,307,12.033997155786,0.033997155785972,0.033997155785972,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,217.889708056778,221.125947207638,3.37605319998693
35,2,1,2,2,5,35,7.5,1041.01026249954,306.778261392988,12,1041,307,12.029868852475,0.0298688524749853,0.0298688524749853,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,188.906305800544,194.808752833166,3.34836599999107
36,2,1,2,3,1,25,10,975.819232931304,322.592351844934,12,976,323,12.0656737462507,0.0656737462507415,0.0656737462507415,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,178.848042751998,183.033882308915,3.28590519999852
37,2,1,2,3,2,27.5,10,991.965784817765,322.785352512502,12,992,323,12.0522088300079,0.0522088300078796,0.0522088300078796,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,161.352289347169,163.944964903878,3.23982009995962
38,2,1,2,3,3,30,10,1008.17125803737,322.979057470169,12,1008,323,12.0574547349414,0.0574547349414463,0.0574547349414463,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,178.044435015179,180.963448464811,3.38398340001004
39,2,1,2,3,4,32.5,10,1024.43597569961,323.173470580082,12,1024,323,12.0452133728666,0.0452133728666499,0.0452133728666499,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,214.156396079694,216.825826795082,3.82210849999683
40,2,1,2,3,5,35,10,1040.76026328077,323.368595732678,12,1041,323,12.0488960130435,0.0488960130435299,0.0488960130435299,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,200.742104740244,204.838689545632,3.63232949998928
41,2,1,2,4,1,25,12.5,975.679215474399,339.008683346922,12,976,339,11.6326883876455,-0.367311612354506,0.367311612354506,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,220.063357270458,222.798755691001,3.53771370003233
42,2,1,2,4,2,27.5,12.5,991.798775774018,339.231213266025,12,992,339,12.0713768828015,0.0713768828014949,0.0713768828014949,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,223.023100730351,228.907042137186,3.27613409998594
43,2,1,2,4,3,30,12.5,1007.9770613283,339.454553885043,12,1008,339,12.076614021877,0.0766140218770257,0.0766140218770257,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,207.593251762188,211.962224557033,3.37424229999306
44,2,1,2,4,4,32.5,12.5,1024.21439363628,339.678709642259,12,1024,340,12.0736205249518,0.073620524951755,0.073620524951755,valid,,,Shared Pattern Plane,Region-SIFT(21/28),28,1,209.489156421278,211.832937818761,3.58139939996181
